dataset_name,resource_name,resource_url,result,comment,resource_tracking_summary_total,,
amsterdam-museum-as-edm-lod,n/a,http://eculture.cs.vu.nl/git/public/?p=econnect/metadata/AHM.git,a=tree,f=rdf,not found,,261
linkedmdb,n/a,http://queens.db.toronto.edu/~oktie/linkedmdb,done,,255,,
iso-3166-2-data,n/a,http://ontologi.es/place/,done,,175,,
bbc-music,n/a,http://motools.sourceforge.net/doc/musicontology.rdfs,done,,161,,
dbpedia,n/a,http://downloads.dbpedia.org/3.5.1/all_languages.tar,party,16 GB compressed,121,,
l3s-dblp,n/a,http://dblp.l3s.de/dblp.rdf.gz,Parse error,,118,,
geonames-semantic-web,n/a,http://download.geonames.org/all-geonames-rdf.zip,Parse error,,99,,
nytimes-linked-open-data,n/a,http://data.nytimes.com/people.rdf,done,,99,,
dbpedia,n/a,http://dbpedia.org/void/Dataset,not found,,96,,
dbpedia,n/a,http://downloads.dbpedia.org/3.5.1/dbpedia_3.5.1.owl.bz2,done,,95,,
bbc-programmes,n/a,http://purl.org/ontology/po,not found,,91,,
bible-ontology,n/a,http://home.bibleontology.com/download/bibleontology_11_6-23.zip,not found,,91,,
geonames-semantic-web,n/a,http://www.geonames.org/ontology/ontology_v2.1.rdf,done,,89,,
bbc-programmes,n/a,http://www.bbc.co.uk/ontologies/programmes/2009-09-07.n3,Parse error,,86,,
fu-berlin-drugbank,n/a,http://www4.wiwiss.fu-berlin.de/drugbank/drugbank_dump.nt.bz2,not found,,77,,
eurostat-rdf,n/a,http://ec.europa.eu/eurostat/ramon/rdfdata/nuts2008.rdf,done,,75,,
opencyc,n/a,http://sw.opencyc.org/downloads/opencyc_owl_downloads/opencyc-latest.owl.gz,done,,73,,
vivo-university-of-florida,n/a,http://vivo.ufl.edu/UF-VIVO.n3,not found,,69,,
world-factbook-fu-berlin,n/a,http://www4.wiwiss.fu-berlin.de/factbook/all,Parse error,,68,,
combined-nomenclature-2012,Combined Nomenclature 2012,http://purl.org/weso/datasets/pscs/cn/2012/cn-2012.ttl,not found,,65,,
bbc-wildlife-finder,n/a,http://purl.org/ontology/wo,not found,,61,,
business-data-gov-uk,n/a,http://source.data.gov.uk/data/business/bis-research-explorer/2010-03-04/business.data.gov.uk.nt,done,,55,,
event-media,n/a,http://linkedevents.org/ontology/2010-10-07/rdfxml/,done,,54,,
eurostat-rdf,n/a,http://ec.europa.eu/eurostat/ramon/rdfdata/nace_r2.rdf,done,,53,,
dbpedia,Link to an example Linked Data entry,http://dbpedia.org/resource/Berlin,Parse error,,51,,
eurostat-rdf,n/a,http://ec.europa.eu/eurostat/ramon/rdfdata/countries.rdf,done,,51,,
archiveshub-linkeddata,n/a,http://data.archiveshub.ac.uk/dump/linkedarchiveshub.zip,not found,,48,,
agrovoc-skos,n/a,http://ckan.net/storage/f/file/e25b0ab3-04cf-442e-abaf-910321e9058f,done,,47,,
jiscopenbib-bl_bnb-1,n/a,http://openbiblio.commondatastorage.googleapis.com/BL-BNB-dataset.zip,party,"← 1+17
BNBrdfdc17.xml ( 400 MB compressed)",47,,
culds_1,n/a,http://data.lib.cam.ac.uk/data/cambridge.nt.tgz,not found,,46,,
aemet,n/a,http://aemet.linkeddata.es/sparql_en.html,Parse error,,45,,
los_metar,n/a,http://www.linkedopenservices.org/data/METARStations.rdf.xml,Parse error,,45,,
stitch-rameau,n/a,http://www.cs.vu.nl/STITCH/rameau/dump/Rameau.skos.gz,done,,45,,
talis-openlibrary,n/a,http://api.talis.com/stores/openlibrary/meta?about=http://openlibrary.org/books/OL23271242M&output=,not found,,45,,
vivo,n/a,http://vivo.cornell.edu/Cornell-VIVO.n3,not found,,45,,
vivo,n/a,http://vivo.iu.edu/IU-VIVO.n3,not found,,45,,
vivo-cornell-university,n/a,http://vivo.cornell.edu/Cornell-VIVO.n3,not found,,45,,
geolinkeddata,n/a,http://geo.linkeddata.es/source/rdf/NOMGEO/NOMGEO_provincias.rdf,done,,44,,
cap-italy-rdf,n/a,http://dump.linkedopendata.it/cap,not found,,43,,
aemet,n/a,http://aemet.linkeddata.es/source/rdf/data.zip,done,,41,,
geospecies,n/a,http://lod.geospecies.org/geospecies.rdf.gz,done,,41,,
knoesis-linked-sensor-data,n/a,http://sonicbanana.cs.wright.edu/knoesis_linkedsensordata.tar.gz,done,,41,,
ordnance-survey-linked-data,n/a,http://data.ordnancesurvey.co.uk/,Parse error,,41,,
data-incubator-musicbrainz,n/a,http://musicbrainz.dataincubator.org/,not found,,39,,
glastonbury-2011,n/a,http://programme.ecs.soton.ac.uk/glastonbury/2011/glastonbury2011.rdf,done,,39,,
linkedct,n/a,http://data.linkedct.org/,not found,,39,,
eunis,Species,http://eunis.eea.europa.eu/rdf/species.rdf.gz,done,,37,,
eunis,voiD description,http://eunis.eea.europa.eu/void.rdf,done,,37,,
lingvoj,n/a,http://www.lingvoj.org/lingvoj.rdf,not found,,37,,
naics-2012,North American Industry Classification System 2012,http://purl.org/weso/datasets/pscs/naics/2012/naics-2012.ttl,not found,,37,,
research-data-gov-uk,n/a,http://source.data.gov.uk/data/research/bis-research-explorer/2010-03-04/research.data.gov.uk.nt,Parse error,,37,,
w3c-wordnet,n/a,http://www.w3.org/2006/03/wn/wn20/download/wn20full.zip,done,,37,,
elviajero,n/a,http://webenemasuno.linkeddata.es/source/rdf/data.zip,done,,35,,
musei-italiani,n/a,http://dump.linkedopendata.it/musei,not found,,35,,
museums-in-italy,n/a,http://dump.linkedopendata.it/musei,not found,,35,,
patents-data-gov-uk,n/a,http://source.data.gov.uk/data/patents/bis-research-explorer/2010-03-04/patents.data.gov.uk.nt,done,,35,,
transport-data-gov-uk,n/a,http://source.data.gov.uk/data/transport/road-traffic-counts/2009-09/transport.tar.gz,done,,35,,
uk-legislation-api,n/a,http://www.legislation.gov.uk/ukpga/1985/67/section/6/data.rdf,done,,35,,
geolinkeddata,n/a,http://geo.linkeddata.es/source/rdf/ontology/,Parse error,,33,,
open-data-thesaurus,n/a,http://ckan.net/storage/f/file/12be3509-4cd1-4fc5-8c95-d0d3a7121766,Parse error,,33,,
chronicling-america,n/a,http://chroniclingamerica.loc.gov/newspapers.rdf,not found,,31,,
eurostat-rdf,n/a,http://ec.europa.eu/eurostat/ramon/rdfdata/estat-legis.rdf,done,,31,,
lower-layer-super-output-areas,n/a,http://opendatacommunities-downloads.s3.amazonaws.com/lsoa.ttl.zip,done,,31,,
meducator,n/a,http://purl.org/meducator/ns,done,,31,,
nytimes-linked-open-data,n/a,http://data.nytimes.com/descriptors.rdf,done,,31,,
