Property,Sum - Count
Total Result,373987070
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,54258880
http://www.w3.org/2000/01/rdf-schema#label,19172810
http://www.w3.org/2004/02/skos/core#subject,10922966
http://www.aktors.org/ontology/portal#has-author,8060091
http://www.w3.org/1999/02/22-rdf-syntax-ns#value,6885590
http://iflastandards.info/ns/isbd/elements/P1004,6646736
http://iflastandards.info/ns/isbd/elements/P1018,6564523
http://iflastandards.info/ns/isbd/elements/P1016,6270126
http://transport.data.gov.uk/0/ontology/traffic#count,6097741
http://transport.data.gov.uk/0/ontology/traffic#point,6097741
http://transport.data.gov.uk/0/ontology/traffic#direction,6097738
http://transport.data.gov.uk/0/ontology/traffic#hour,6097738
http://transport.data.gov.uk/0/ontology/traffic#category,6097737
http://govwild.org/ontology/uri,5765533
http://purl.org/dc/terms/identifier,5550694
http://www.aktors.org/ontology/portal#full-name,5207604
http://purl.org/dc/terms/issued,4936812
http://purl.org/dc/terms/title,4838432
http://www.w3.org/2002/07/owl#sameAs,4592938
http://www.w3.org/2007/05/powder-s#describedby,4364673
http://purl.org/dc/terms/medium,4160266
http://purl.org/dc/terms/format,4048596
http://purl.org/dc/terms/publisher,3967745
http://iflastandards.info/ns/isbd/elements/P1017,3564249
http://purl.org/dc/terms/language,3456929
http://www.aktors.org/ontology/portal#has-date,3286877
http://www.aktors.org/ontology/portal#has-title,3231319
http://www.aktors.org/ontology/portal#cites-publication-reference,3183156
http://govwild.org/ontology/date,2699148
http://purl.org/dc/terms/subject,2673896
http://iflastandards.info/ns/isbd/elements/P1006,2630001
http://www.w3.org/2004/02/skos/core#notation,2590752
http://iflastandards.info/ns/isbd/elements/P1117,2474351
http://iflastandards.info/ns/isbd/elements/P1022,2386325
http://iflastandards.info/ns/isbd/elements/P1185,2345381
http://iflastandards.info/ns/isbd/elements/P1024,2296947
http://purl.org/ontology/bibo/oclcnum,2286162
http://www.aktors.org/ontology/portal#article-of-journal,2215693
http://iflastandards.info/ns/isbd/elements/P1007,2061121
http://www.aktors.org/ontology/portal#has-web-address,2020761
http://govwild.org/ontology/name,1859224
http://xmlns.com/foaf/0.1/isPrimaryTopicOf,1824418
http://www.w3.org/2004/02/skos/core#prefLabel,1673351
http://purl.org/dc/elements/1.1/rights,1652953
http://govwild.org/ontology/url,1639517
http://iflastandards.info/ns/isbd/elements/P1045,1627612
http://govwild.org/ontology/sourceDetailed,1601583
http://iflastandards.info/ns/isbd/elements/P1092,1598256
http://purl.org/dc/terms/creator,1480696
http://purl.org/dc/elements/1.1/contributor,1401815
http://xmlns.com/foaf/0.1/depiction,1398418
http://govwild.org/ontology/description,1362242
http://www.w3.org/2004/02/skos/core#inScheme,1335544
http://www.europeana.eu/schemas/edm/aggregatedCHO,1318642
http://www.openarchives.org/ore/terms/proxyFor,1318642
http://www.openarchives.org/ore/terms/proxyIn,1318642
http://iflastandards.info/ns/isbd/elements/P1008,1317666
http://www.w3.org/2004/02/skos/core#broader,1298308
http://purl.org/dc/terms/contributor,1289883
http://www.aktors.org/ontology/portal#addresses-generic-area-of-interest,1278950
http://xmlns.com/foaf/0.1/thumbnail,1250782
http://iflastandards.info/ns/fr/frbr/frbrer/P2003,1246773
http://iflastandards.info/ns/fr/frbr/frbrer/P2004,1246773
http://iflastandards.info/ns/isbd/elements/P1154,1161017
http://purl.org/dc/elements/1.1/subject,1147442
http://govwild.org/ontology/recipient,1147349
http://govwild.org/ontology/year,1124912
http://govwild.org/ontology/sponsor,1114131
http://govwild.org/ontology/currency,1095971
http://govwild.org/ontology/subject,1095971
http://govwild.org/ontology/amount,1095970
http://iflastandards.info/ns/isbd/elements/P1026,1049371
http://openprovenance.org/model/opmo#account,987119
http://www.aktors.org/ontology/portal#has-publication-reference,983358
http://purl.org/dc/elements/1.1/creator,982800
http://xmlns.com/foaf/0.1/page,964232
http://www.aktors.org/ontology/portal#has-volume,959484
http://iflastandards.info/ns/isbd/elements/P1023,883661
http://dbpedia.org/ontology/thumbnail,840723
http://purl.org/dc/elements/1.1/publisher,832736
http://iflastandards.info/ns/fr/frbr/frbrer/P2001,827274
http://iflastandards.info/ns/fr/frbr/frbrer/P2002,827274
http://govwild.org/ontology/address,827103
http://purl.org/ontology/bibo/edition,786693
http://govwild.org/ontology/country,764296
http://govwild.org/ontology/zipCode,756571
http://xmlns.com/foaf/0.1/primaryTopic,748163
http://purl.org/dc/elements/1.1/title,727202
http://purl.org/dc/elements/1.1/date,720375
http://purl.org/dc/elements/1.1/format,696029
http://govwild.org/ontology/state,692404
http://purl.org/dc/elements/1.1/identifier,681508
http://govwild.org/ontology/dataEntry,679286
http://www.w3.org/1999/xhtml/vocab#license,659322
http://www.europeana.eu/schemas/edm/country,659321
http://www.europeana.eu/schemas/edm/landingPage,659321
http://www.europeana.eu/schemas/edm/language,659321
http://www.europeana.eu/schemas/edm/provider,659321
