"unified_format","count","?column?"
"n/a",2983,0.147834274952919
"Spreadsheet",2966,0.146991773218357
"CSV",2533,0.125532758449797
"RDF",2279,0.112944791356923
"PDF",1643,0.0814253146991773
"Image",1371,0.067945286946179
"Example",1079,0.0534740806819308
"HTML",985,0.0488155416790564
"SPARQL",682,0.0337991872336208
"URL",627,0.0310734463276836
"Archive",534,0.0264644662503717
"Geo",511,0.0253246109624343
"Database",493,0.0244325503023094
"XML",463,0.0229457825354346
"JSON",364,0.0180394489047477
"Binary",137,0.00678957280206165
"TXT",132,0.00654177817424918
"DOC",69,0.00341956586381207
"API",63,0.00312221231043711
"Beacon",59,0.00292397660818713
"MARC",51,0.00252750520368718
"RSS",47,0.00232926950143721
"Repository",28,0.00138764991574983
"Map",25,0.00123897313906235
"Script",20,0.000991178511249876
"Google Doc",17,0.000842501734562395
"SQL",12,0.000594707106749926
"GTFS",3,0.000148676776687481
"Sound",2,9.91178511249876e-05
