Number of unique subjects: 2102,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31]
[0] http://data.kasabi.com/dataset/global-hunger-index/structure/GHI,356,-,356,356,356,356,0,0,0,356,0,0,0,0,0,0,356,0,0,356,0,0,356,0,0,0,0,0,0,0,0,0,0
[1] http://data.kasabi.com/dataset/global-hunger-index/structure/lastRevised,1946,-,-,1946,1946,1946,462,504,520,1946,0,0,0,0,0,0,1946,0,0,1946,0,0,1946,0,0,0,0,0,0,0,0,0,0
[2] http://data.kasabi.com/dataset/global-hunger-index/structure/obsStatus,1946,-,-,-,1946,1946,462,504,520,1946,0,0,0,0,0,0,1946,0,0,1946,0,0,1946,0,0,0,0,0,0,0,0,0,0
[3] http://data.kasabi.com/dataset/global-hunger-index/structure/refArea,1946,-,-,-,-,1946,462,504,520,1946,0,0,0,0,0,0,1946,0,0,1946,0,0,1946,0,0,0,0,0,0,0,0,0,0
[4] http://data.kasabi.com/dataset/global-hunger-index/structure/refPeriod,1946,-,-,-,-,-,462,504,520,1946,0,0,0,0,0,0,1946,0,0,1946,0,0,1946,0,0,0,0,0,0,0,0,0,0
[5] http://data.kasabi.com/dataset/global-hunger-index/structure/supportingDataPUN,462,-,-,-,-,-,-,0,0,462,0,0,0,0,0,0,462,0,0,462,0,0,462,0,0,0,0,0,0,0,0,0,0
[6] http://data.kasabi.com/dataset/global-hunger-index/structure/supportingDataPUW,504,-,-,-,-,-,-,-,0,504,0,0,0,0,0,0,504,0,0,504,0,0,504,0,0,0,0,0,0,0,0,0,0
[7] http://data.kasabi.com/dataset/global-hunger-index/structure/supportingDataU5MR,520,-,-,-,-,-,-,-,-,520,0,0,0,0,0,0,520,0,0,520,0,0,520,0,0,0,0,0,0,0,0,0,0
[8] http://data.kasabi.com/dataset/global-hunger-index/structure/yearOfGHI,1946,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1946,0,0,1946,0,0,1946,0,0,0,0,0,0,0,0,0,0
[9] http://purl.org/dc/terms/created,1,-,-,-,-,-,-,-,-,-,-,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
[10] http://purl.org/dc/terms/creator,1,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
[11] http://purl.org/dc/terms/description,1,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
[12] http://purl.org/dc/terms/title,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
[13] http://purl.org/linked-data/cube#component,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[14] http://purl.org/linked-data/cube#concept,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0
[15] http://purl.org/linked-data/cube#dataSet,1946,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1946,0,0,1946,0,0,0,0,0,0,0,0,0,0
[16] http://purl.org/linked-data/cube#dimension,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
[17] http://purl.org/linked-data/cube#measure,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[18] http://purl.org/linked-data/cube#measureType,1946,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1946,0,0,0,0,0,0,0,0,0,0
[19] http://purl.org/linked-data/cube#order,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0
[20] http://purl.org/linked-data/cube#structure,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,1,0,0,0,0,0,0
[21] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1966,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,10,1,4,11,0,4,1,4,4
[22] http://www.w3.org/2000/01/rdf-schema#comment,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,1,2,0,0,0,0,0
[23] http://www.w3.org/2000/01/rdf-schema#label,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,7,0,0,0,0,0
[24] http://www.w3.org/2000/01/rdf-schema#range,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0
[25] http://www.w3.org/2000/01/rdf-schema#seeAlso,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,0,0,0
[26] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,0,4,4
[27] http://www.w3.org/2002/07/owl#sameAs,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[28] http://www.w3.org/2004/02/skos/core#definition,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,4
[29] http://www.w3.org/2004/02/skos/core#hasTopConcept,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[30] http://www.w3.org/2004/02/skos/core#inScheme,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
[31] http://www.w3.org/2004/02/skos/core#prefLabel,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
