Number of unique subjects: 154981,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18]
[0] http://purl.org/dc/terms/contributor,4,-,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
[1] http://purl.org/dc/terms/creator,2,-,-,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
[2] http://purl.org/dc/terms/date,1,-,-,-,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
[3] http://purl.org/dc/terms/description,2,-,-,-,-,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
[4] http://purl.org/dc/terms/language,13,-,-,-,-,-,0,0,0,13,13,7,0,12,13,13,13,13,0,1
[5] http://purl.org/dc/terms/rightHolder,1,-,-,-,-,-,-,0,1,1,1,0,0,0,0,0,0,0,0,0
[6] http://purl.org/dc/terms/spatial,4,-,-,-,-,-,-,-,0,4,4,2,0,4,4,4,4,4,0,0
[7] http://purl.org/dc/terms/title,7,-,-,-,-,-,-,-,-,7,1,0,0,0,0,0,0,0,0,0
[8] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,154981,-,-,-,-,-,-,-,-,-,153699,75632,87114,21756,85832,154974,88890,154974,34919,22280
[9] http://www.w3.org/2000/01/rdf-schema#seeAlso,153699,-,-,-,-,-,-,-,-,-,-,75076,86487,21375,85009,153698,87863,153698,34735,22169
[10] http://www.w3.org/2004/02/skos/core#altLabel,196499,-,-,-,-,-,-,-,-,-,-,-,56868,12212,43973,75632,51884,75632,24847,14377
[11] http://www.w3.org/2004/02/skos/core#broader,127161,-,-,-,-,-,-,-,-,-,-,-,-,11317,47297,87114,60973,87114,25412,16323
[12] http://www.w3.org/2004/02/skos/core#definition,21959,-,-,-,-,-,-,-,-,-,-,-,-,-,20644,21756,13307,21756,2230,1535
[13] http://www.w3.org/2004/02/skos/core#editorialNote,112382,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85832,44994,85832,12977,10898
[14] http://www.w3.org/2004/02/skos/core#inScheme,309947,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88890,154974,34919,22280
[15] http://www.w3.org/2004/02/skos/core#note,118467,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88890,27189,18088
[16] http://www.w3.org/2004/02/skos/core#prefLabel,309979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34919,22280
[17] http://www.w3.org/2004/02/skos/core#related,59114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10856
[18] http://www.w3.org/2004/02/skos/core#scopeNote,27140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
