Number of unique subjects: 476,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34]
[0] hittp://www.w3.org/2002/07/owl#sameAs,119,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,119,119,0
[1] http://bio2rdf.org/ns/bio2rdf#name,119,-,-,119,119,119,113,6,74,119,110,119,60,82,94,85,116,119,113,91,21,34,119,45,45,39,119,119,11,116,119,119,119,119,119,119
[2] http://bio2rdf.org/ns/bio2rdf#symbol,238,-,-,-,119,119,113,6,74,119,110,119,60,82,94,85,116,119,113,91,21,34,119,45,45,39,119,119,11,116,238,119,119,238,238,119
[3] http://bio2rdf.org/ns/bio2rdf#url,119,-,-,-,-,119,113,6,74,119,110,119,60,82,94,85,116,119,113,91,21,34,119,45,45,39,119,119,11,116,119,119,119,119,119,119
[4] http://bio2rdf.org/ns/bio2rdf#xChromosome,119,-,-,-,-,-,113,6,74,119,110,119,60,82,94,85,116,119,113,91,21,34,119,45,45,39,119,119,11,116,119,119,119,119,119,119
[5] http://bio2rdf.org/ns/bio2rdf#xEnsembl,113,-,-,-,-,-,-,6,71,113,104,113,59,78,90,80,113,113,111,86,18,33,113,43,44,38,113,113,11,110,113,113,113,113,113,113
[6] http://bio2rdf.org/ns/bio2rdf#xEnzyme,6,-,-,-,-,-,-,-,4,6,6,6,4,5,4,4,6,6,6,5,1,1,6,0,1,1,6,6,1,4,6,6,6,6,6,6
[7] http://bio2rdf.org/ns/bio2rdf#xGDB,74,-,-,-,-,-,-,-,-,74,66,74,31,66,62,44,73,74,72,51,12,28,74,33,32,26,74,74,5,71,74,74,74,74,74,74
[8] http://bio2rdf.org/ns/bio2rdf#xGene,119,-,-,-,-,-,-,-,-,-,110,119,60,82,94,85,116,119,113,91,21,34,119,45,45,39,119,119,11,116,119,119,119,119,119,119
[9] http://bio2rdf.org/ns/bio2rdf#xGeneID,110,-,-,-,-,-,-,-,-,-,-,110,59,75,89,84,107,110,104,86,21,29,110,43,43,38,110,110,10,107,110,110,110,110,110,110
[10] http://bio2rdf.org/ns/bio2rdf#xGeneIDMapped,119,-,-,-,-,-,-,-,-,-,-,-,60,82,94,85,116,119,113,91,21,34,119,45,45,39,119,119,11,116,119,119,119,119,119,119
[11] http://bio2rdf.org/ns/bio2rdf#xMGI,60,-,-,-,-,-,-,-,-,-,-,-,-,43,53,54,60,60,60,53,17,18,60,23,24,21,60,60,7,58,60,60,60,60,60,60
[12] http://bio2rdf.org/ns/bio2rdf#xOMIM,82,-,-,-,-,-,-,-,-,-,-,-,-,-,74,56,80,82,80,58,18,27,82,34,34,30,82,82,7,79,82,82,82,82,82,82
[13] http://bio2rdf.org/ns/bio2rdf#xPubmed,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,93,94,91,74,20,27,94,40,39,32,94,94,7,92,94,94,94,94,94,94
[14] http://bio2rdf.org/ns/bio2rdf#xRefSeq,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,85,82,76,19,27,85,28,28,26,85,85,9,83,85,85,85,85,85,85
[15] http://bio2rdf.org/ns/bio2rdf#xRefSeqMapped,116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116,112,89,21,33,116,45,45,38,116,116,11,113,116,116,116,116,116,116
[16] http://bio2rdf.org/ns/bio2rdf#xSymbol,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,91,21,34,119,45,45,39,119,119,11,116,119,119,119,119,119,119
[17] http://bio2rdf.org/ns/bio2rdf#xUniProt,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,19,33,113,43,44,38,113,113,11,110,113,113,113,113,113,113
