Number of unique subjects: 35,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
[0] http://swrc.ontoware.org/ontology#abstract,4,-,4,1,1,4,3,3,0,4,0,3,4,1,4,0,3,4,0,0,0,0,0,4,0,0,4
[1] http://swrc.ontoware.org/ontology#author,5,-,-,1,1,5,3,3,0,5,0,3,4,1,5,0,3,5,0,0,0,0,0,5,0,0,5
[2] http://swrc.ontoware.org/ontology#booktitle,1,-,-,-,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
[3] http://swrc.ontoware.org/ontology#crossref,1,-,-,-,-,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
[4] http://swrc.ontoware.org/ontology#date,5,-,-,-,-,-,3,3,0,5,0,3,4,1,5,0,3,5,0,0,0,0,0,5,0,0,5
[5] http://swrc.ontoware.org/ontology#hasExtraField,6,-,-,-,-,-,-,3,0,3,0,3,3,1,3,0,3,3,0,0,0,0,0,3,0,0,3
[6] http://swrc.ontoware.org/ontology#journal,3,-,-,-,-,-,-,-,0,3,0,3,3,1,3,0,3,3,0,0,0,0,0,3,0,0,3
[7] http://swrc.ontoware.org/ontology#key,6,-,-,-,-,-,-,-,-,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0
[8] http://swrc.ontoware.org/ontology#keywords,5,-,-,-,-,-,-,-,-,-,0,3,4,1,5,0,3,5,0,0,0,0,0,5,0,0,5
[9] http://swrc.ontoware.org/ontology#name,18,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
[10] http://swrc.ontoware.org/ontology#number,3,-,-,-,-,-,-,-,-,-,-,-,3,1,3,0,3,3,0,0,0,0,0,3,0,0,3
[11] http://swrc.ontoware.org/ontology#pages,4,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,3,4,0,0,0,0,0,4,0,0,4
[12] http://swrc.ontoware.org/ontology#publisher,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,0,0,0,0,0,1,0,0,1
[13] http://swrc.ontoware.org/ontology#title,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,5,0,0,0,0,0,5,0,0,5
[14] http://swrc.ontoware.org/ontology#value,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,6,0,0,0
[15] http://swrc.ontoware.org/ontology#volume,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,0,0,0,3,0,0,3
[16] http://swrc.ontoware.org/ontology#year,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,5,0,0,5
[17] http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,3,2,5,0,0,0
[18] http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,2,4,0,0,0
[19] http://www.w3.org/1999/02/22-rdf-syntax-ns#_3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,3,0,0,0
[20] http://www.w3.org/1999/02/22-rdf-syntax-ns#_4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,0,0,0
[21] http://www.w3.org/1999/02/22-rdf-syntax-ns#_5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0
[22] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,5
[23] http://www.w3.org/2000/01/rdf-schema#comment,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0
[24] http://www.w3.org/2002/07/owl#imports,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[25] http://www.w3.org/2002/07/owl#sameAs,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
