Number of unique subjects: 4,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18]
[0] http://ns.adobe.com/xap/1.0/MetadataDate,1,-,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
[1] http://purl.org/dc/terms/created,1,-,-,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
[2] http://purl.org/dc/terms/creator,2,-,-,-,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3] http://purl.org/dc/terms/description,4,-,-,-,-,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1
[4] http://purl.org/dc/terms/identifier,1,-,-,-,-,-,1,1,0,1,0,0,0,0,0,0,0,0,1,0
[5] http://purl.org/dc/terms/language,1,-,-,-,-,-,-,1,0,1,0,0,0,0,0,0,0,0,1,0
[6] http://purl.org/dc/terms/modified,1,-,-,-,-,-,-,-,0,1,0,0,0,0,0,0,0,0,1,0
[7] http://purl.org/dc/terms/publisher,1,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,0,1
[8] http://purl.org/dc/terms/references,1,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,1,0
[9] http://purl.org/dc/terms/title,1,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,0,1
[10] http://purl.org/dc/terms/type,2,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,1,1,0,1
[11] http://rdfs.org/ns/void#exampleResource,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,0,1
[12] http://rdfs.org/ns/void#rootResource,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,1
[13] http://www.w3.org/2000/01/rdf-schema#seeAlso,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,1
[14] http://www.w3.org/2000/01/rdf-schema#type,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1
[15] http://xmlns.com/foaf/0.1/homepage,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1
[16] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1
[17] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[18] http://xxx.org/XXX/MetadataLanguage,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
