Number of unique subjects: 186,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23]
[0] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,8,-,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,8,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,253,-,-,-,122,63,159,66,61,12,3,2,1,12,1,4,1,4,1,2,3,5,5,8,1
[3] http://www.w3.org/2000/01/rdf-schema#comment,212,-,-,-,-,49,123,52,45,12,0,2,1,11,0,0,0,4,0,2,3,0,0,3,1
[4] http://www.w3.org/2000/01/rdf-schema#domain,74,-,-,-,-,-,63,57,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
[5] http://www.w3.org/2000/01/rdf-schema#label,318,-,-,-,-,-,-,66,61,12,0,2,1,12,0,0,0,4,0,2,3,0,0,3,1
[6] http://www.w3.org/2000/01/rdf-schema#range,75,-,-,-,-,-,-,-,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
[7] http://www.w3.org/2000/01/rdf-schema#subClassOf,69,-,-,-,-,-,-,-,-,0,0,2,1,0,0,0,0,4,0,0,3,0,0,3,1
[8] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,12,-,-,-,-,-,-,-,-,-,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
[9] http://www.w3.org/2002/07/owl#cardinality,3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,3,0,0,0,0,0,0,0,0,0
[10] http://www.w3.org/2002/07/owl#equivalentClass,3,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,2,0,0,2,0
[11] http://www.w3.org/2002/07/owl#hasKey,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,0,0,1,0
[12] http://www.w3.org/2002/07/owl#inverseOf,12,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0
[13] http://www.w3.org/2002/07/owl#maxCardinality,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0
[14] http://www.w3.org/2002/07/owl#onProperty,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
[15] http://www.w3.org/2002/07/owl#oneOf,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0
[16] http://www.w3.org/2002/07/owl#sameAs,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
[17] http://www.w3.org/2002/07/owl#unionOf,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
[18] http://www.w3.org/2002/07/owl#versionInfo,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[19] http://www.w3.org/2004/02/skos/core#altLabel,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3,0
[20] http://www.w3.org/2004/02/skos/core#definition,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,0
[21] http://www.w3.org/2004/02/skos/core#inScheme,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0
[22] http://www.w3.org/2004/02/skos/core#prefLabel,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[23] http://www.w3.org/2004/02/skos/core#related,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
