Number of unique subjects: 4220712,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64]
[0] http://iflastandards.info/ns/fr/frbr/frbrer/P2001,827274,-,4013,4327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3610,0
[1] http://iflastandards.info/ns/fr/frbr/frbrer/P2002,827274,-,-,827273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819145,0,826750,0
[2] http://iflastandards.info/ns/fr/frbr/frbrer/P2003,1246773,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836084,0,864484,0
[3] http://iflastandards.info/ns/fr/frbr/frbrer/P2004,1246773,-,-,-,-,23292,1,1,1246767,455795,1044700,275556,4487,5086,1239635,1238259,68477,191775,3105,1244738,406838,1235073,29682,553771,6532,354246,3,20216,6722,53,41658,33786,514,31882,116,586637,2,12220,0,3108,5,22822,23176,1,3,374,358,728303,12408,4008,1,120,1239478,1,8618,3590,12566,802,560384,0,1236884,67047,1199314,132802,1246771,925398
[4] http://iflastandards.info/ns/fr/frbr/frbrer/P3001,54230,-,-,-,-,-,0,0,39887,20610,36570,5828,122,218,39480,39672,2238,3726,118,39776,19548,34179,3214,19127,74,12177,0,76,693,52,10510,7453,82,6955,14,29313,0,3784,0,706,1,1419,116,0,1,184,2,23671,2050,1016,0,30,39459,2,4088,1291,554,82,13213,0,39378,10297,25401,2490,39887,16410
[5] http://iflastandards.info/ns/isbd/elements/P1001,1,-,-,-,-,-,-,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0
[6] http://iflastandards.info/ns/isbd/elements/P1003,1,-,-,-,-,-,-,-,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0
[7] http://iflastandards.info/ns/isbd/elements/P1004,2390161,-,-,-,-,-,-,-,-,859583,2060747,530937,8015,7402,2379418,2374687,129356,302956,5992,2386063,883564,2296545,71540,1006140,12030,646322,6,41237,15977,113,100184,108489,1065,143554,520,1154411,12,31289,12,16821,12,48110,42968,26,7,1009,5278,1594711,20485,6251,3,183,2378226,11,39455,18296,21104,1617,1126225,6,2345114,163284,2276801,245161,2390087,1726321
[8] http://iflastandards.info/ns/isbd/elements/P1006,859967,-,-,-,-,-,-,-,-,-,743546,167609,2350,5024,855607,855329,51401,123556,1825,858350,336177,842055,28402,290712,5228,174018,1,10815,5275,66,49777,38920,419,24953,165,412885,2,15394,10,6455,1,23302,17441,9,4,520,3573,528265,11068,2152,2,121,855168,3,16004,5831,6978,741,390045,5,842203,76111,807139,120916,859584,599993
[9] http://iflastandards.info/ns/isbd/elements/P1007,2061121,-,-,-,-,-,-,-,-,-,-,490716,5369,7247,2051864,2046915,109749,235743,5476,2058037,790590,2002630,62235,926965,11859,595702,3,40510,14135,103,89138,86735,1034,93368,412,1029708,6,26810,1,16535,9,43948,40425,23,7,752,5259,1450506,17507,5523,0,182,2050822,8,36864,14664,20816,1549,1091311,1,2018249,133406,1962235,206461,2060750,1554632
