Number of unique subjects: 76229,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24]
[0] http://purl.org/NET/c4dm/event.owl#place,7952,-,3976,0,0,0,0,0,3441,0,0,0,0,0,3976,0,3976,3976,3640,0,0,3976,7952,7952,0,0
[1] http://purl.org/NET/c4dm/event.owl#sub_event,30062,-,-,0,0,0,0,0,0,0,0,0,0,0,3976,0,0,3976,0,0,0,0,3976,3976,0,0
[2] http://purl.org/NET/c4dm/event.owl#time,3976,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3976,3976,0,0
[3] http://purl.org/dc/elements/1.1/created,1522,-,-,-,-,1321,0,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,1321,355,0
[4] http://purl.org/dc/elements/1.1/title,19214,-,-,-,-,-,0,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19214,19214,355,0
[5] http://purl.org/ontology/mo/biography,115,-,-,-,-,-,-,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,115,115,0,115
[6] http://purl.org/ontology/mo/chart_position,1502,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,1321,355,0
[7] http://purl.org/ontology/mo/engineer,3801,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,3441,0,3416,0,0,3441,3441,3441,0,0
[8] http://purl.org/ontology/mo/engineered,3801,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,275,275,0,275
[9] http://purl.org/ontology/mo/instrument,8926,-,-,-,-,-,-,-,-,-,-,0,0,0,7888,0,0,0,0,0,0,0,7888,0,0,0
[10] http://purl.org/ontology/mo/isrc,689,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,685,0,0,685,685,175,0
[11] http://purl.org/ontology/mo/performance_of,16767,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1126,0,16767,0,0,0
[12] http://purl.org/ontology/mo/performed,11864,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,9991,2103,0,9991
[13] http://purl.org/ontology/mo/performer,11864,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3976,0,0,0,0,11864,3976,0,0
[14] http://purl.org/ontology/mo/produced,3640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,174,174,0,174
[15] http://purl.org/ontology/mo/produced_signal,3976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3640,0,0,3976,3976,3976,0,0
[16] http://purl.org/ontology/mo/produced_sound,3976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,3976,3976,0,0
[17] http://purl.org/ontology/mo/producer,3640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3640,3640,3640,0,0
[18] http://purl.org/ontology/mo/published_as,1811,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1811,1811,175,0
[19] http://purl.org/ontology/mo/recorded_as,1126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1126,0,0,0
[20] http://purl.org/ontology/mo/recording_of,3976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3976,3976,0,0
[21] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,76046,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39527,530,10611
[22] http://www.w3.org/2000/01/rdf-schema#label,39652,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,530,2723
[23] http://www.w3.org/2002/07/owl#sameAs,860,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[24] http://xmlns.com/foaf/0.1/name,10611,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
