Number of unique subjects: 996,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22]
[0] http://creativecommons.org/ns#attributionName,498,-,498,498,0,0,0,498,0,0,0,498,498,498,498,0,0,0,0,0,0,0,0,498
[1] http://creativecommons.org/ns#attributionURL,498,-,-,498,0,0,0,498,0,0,0,498,498,498,498,0,0,0,0,0,0,0,0,498
[2] http://creativecommons.org/ns#license,498,-,-,-,0,0,0,498,0,0,0,498,498,498,498,0,0,0,0,0,0,0,0,498
[3] http://data.nytimes.com/elements/associated_article_count,498,-,-,-,-,498,498,0,498,498,181,0,0,0,0,498,498,11,69,498,116,498,496,0
[4] http://data.nytimes.com/elements/first_use,498,-,-,-,-,-,498,0,498,498,181,0,0,0,0,498,498,11,69,498,116,498,496,0
[5] http://data.nytimes.com/elements/latest_use,498,-,-,-,-,-,-,0,498,498,181,0,0,0,0,498,498,11,69,498,116,498,496,0
[6] http://data.nytimes.com/elements/mapping_strategy,498,-,-,-,-,-,-,-,0,0,0,498,498,498,498,0,0,0,0,0,0,0,0,498
[7] http://data.nytimes.com/elements/number_of_variants,498,-,-,-,-,-,-,-,-,498,181,0,0,0,0,498,498,11,69,498,116,498,496,0
[8] http://data.nytimes.com/elements/search_api_query,498,-,-,-,-,-,-,-,-,-,181,0,0,0,0,498,498,11,69,498,116,498,496,0
[9] http://data.nytimes.com/elements/topicPage,181,-,-,-,-,-,-,-,-,-,-,0,0,0,0,181,181,3,69,181,43,181,180,0
[10] http://purl.org/dc/elements/1.1/creator,498,-,-,-,-,-,-,-,-,-,-,-,498,498,498,0,0,0,0,0,0,0,0,498
[11] http://purl.org/dc/terms/created,498,-,-,-,-,-,-,-,-,-,-,-,-,498,498,0,0,0,0,0,0,0,0,498
[12] http://purl.org/dc/terms/modified,498,-,-,-,-,-,-,-,-,-,-,-,-,-,498,0,0,0,0,0,0,0,0,498
[13] http://purl.org/dc/terms/rightsHolder,498,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,498
[14] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,498,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,498,11,69,498,116,498,496,0
[15] http://www.w3.org/2002/07/owl#sameAs,1230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,69,498,116,498,496,0
[16] http://www.w3.org/2004/02/skos/core#broadMatch,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,0,11,10,0
[17] http://www.w3.org/2004/02/skos/core#definition,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,17,69,69,0
[18] http://www.w3.org/2004/02/skos/core#inScheme,498,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116,498,496,0
[19] http://www.w3.org/2004/02/skos/core#narrowMatch,227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116,116,0
[20] http://www.w3.org/2004/02/skos/core#prefLabel,498,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,496,0
[21] http://www.w3.org/2004/02/skos/core#scopeNote,496,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[22] http://xmlns.com/foaf/0.1/primaryTopic,498,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
