Number of unique subjects: 2,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]
[0] http://purl.org/dc/elements/1.1/title,1,-,1,1,1,1,1,1,0,0,1,1,1
[1] http://purl.org/dc/terms/creator,2,-,-,1,1,1,1,1,0,0,1,1,1
[2] http://purl.org/dc/terms/isPartOf,1,-,-,-,1,1,1,1,0,0,1,1,1
[3] http://purl.org/dc/terms/issued,1,-,-,-,-,1,1,1,0,0,1,1,1
[4] http://purl.org/dc/terms/medium,1,-,-,-,-,-,1,1,0,0,1,1,1
[5] http://purl.org/ontology/bibo/authorList,1,-,-,-,-,-,-,1,0,0,1,1,1
[6] http://umbel.org/umbel#isLike,1,-,-,-,-,-,-,-,0,0,1,1,1
[7] http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,1,-,-,-,-,-,-,-,-,1,1,0,0
[8] http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,1,-,-,-,-,-,-,-,-,-,1,0,0
[9] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,2,-,-,-,-,-,-,-,-,-,-,1,1
[10] http://www.w3.org/2002/07/owl#sameAs,1,-,-,-,-,-,-,-,-,-,-,-,1
[11] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,1,-,-,-,-,-,-,-,-,-,-,-,-
