Number of unique subjects: 1,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9]
[0] http://purl.org/dc/terms/description,1,-,1,1,1,1,1,1,1,1,1
[1] http://purl.org/dc/terms/publisher,1,-,-,1,1,1,1,1,1,1,1
[2] http://purl.org/dc/terms/source,1,-,-,-,1,1,1,1,1,1,1
[3] http://purl.org/dc/terms/title,1,-,-,-,-,1,1,1,1,1,1
[4] http://rdfs.org/ns/void#exampleResource,1,-,-,-,-,-,1,1,1,1,1
[5] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,1,1,1,1
[6] http://rdfs.org/ns/void#uriLookupEndpoint,1,-,-,-,-,-,-,-,1,1,1
[7] http://rdfs.org/ns/void#vocabulary,5,-,-,-,-,-,-,-,-,1,1
[8] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1,-,-,-,-,-,-,-,-,-,1
[9] http://xmlns.com/foaf/0.1/homepage,1,-,-,-,-,-,-,-,-,-,-
