Number of unique subjects: 627259,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84],[85],[86],[87],[88],[89],[90],[91],[92],[93],[94],[95],[96],[97],[98],[99],[100],[101],[102],[103],[104],[105],[106],[107],[108],[109],[110],[111],[112],[113],[114],[115],[116],[117],[118],[119],[120],[121],[122],[123],[124],[125],[126],[127],[128],[129],[130],[131],[132],[133],[134],[135],[136],[137],[138],[139],[140],[141],[142],[143],[144],[145],[146],[147],[148],[149],[150],[151],[152],[153],[154],[155],[156],[157],[158],[159],[160],[161],[162],[163],[164],[165],[166],[167],[168],[169],[170],[171],[172],[173],[174],[175],[176],[177],[178],[179],[180],[181],[182],[183],[184],[185],[186],[187],[188],[189],[190],[191],[192]
[0] http://data.ordnancesurvey.co.uk/ontology/admingeo/hasCensusCode,49789,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49789,49789,14602,0,0,0,0,0,0,0
[1] http://data.ordnancesurvey.co.uk/ontology/spatialrelations/easting,64115,-,-,64115,0,0,483,3575,776,4530,23731,541,24720,24490,522,499,58691,63251,63251,64115,0,0,0,0,0,0,0,0,0,0,12510,26864,2531,551,2550,7535,2320,2572,2690,587,64064,0,0,0,63093,5647,146,1253,292,56499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54293,28007,63227,64115,1481,8730,2560,15,2649,1224,2648,7,746,7066,63761,104,1389,530,1105,64115,35943,64115,213,57,424,33731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,63051,538,902,2332,164,2380,64115,64115,1420,64115,890,2333,3144,31346,2387,1240,0,0,0,23197,4637,25948,62095,11180,63255,28849,444,0,6331,12322,2473,3883,8036,0,22547,49657,24922,570,1978,27068,56377,33480,33434,54294,81,0,0,0,2835,0,2794,0,0,0,162,163,64115,64115,63260,64064,12003,0,0,0,0,0,0,64115,64115,0,64115,64115,0,0,0,0,0
[2] http://data.ordnancesurvey.co.uk/ontology/spatialrelations/northing,64115,-,-,-,0,0,483,3575,776,4530,23731,541,24720,24490,522,499,58691,63251,63251,64115,0,0,0,0,0,0,0,0,0,0,12510,26864,2531,551,2550,7535,2320,2572,2690,587,64064,0,0,0,63093,5647,146,1253,292,56499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54293,28007,63227,64115,1481,8730,2560,15,2649,1224,2648,7,746,7066,63761,104,1389,530,1105,64115,35943,64115,213,57,424,33731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,63051,538,902,2332,164,2380,64115,64115,1420,64115,890,2333,3144,31346,2387,1240,0,0,0,23197,4637,25948,62095,11180,63255,28849,444,0,6331,12322,2473,3883,8036,0,22547,49657,24922,570,1978,27068,56377,33480,33434,54294,81,0,0,0,2835,0,2794,0,0,0,162,163,64115,64115,63260,64064,12003,0,0,0,0,0,0,64115,64115,0,64115,64115,0,0,0,0,0
[3] http://education.data.gov.uk/def/school/ASCHighestAge,27121,-,-,-,-,27121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2596,2603,2533,2521,2522,2599,2604,2532,2527,2524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25143,25481,26199,26172,26324,26409,26076,26481,25546,26680,26048,26078,20934,16818,19097,24846,24835,24741,25020,25139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24951,25639,26069,26003,26019,26042,26041,26476,25349,26659,26040,26076,20764,16453,18555,24726,24795,24763,24860,24960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26735,26510,26824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2749,2748,1353,0,2253,0,2515,2504,0,0,0,0,0,0,0,0,25905,0,0,0,0,0,27121,0,0,0,0,0,0,0,0,0
[4] http://education.data.gov.uk/def/school/ASCLowestAge,27121,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2596,2603,2533,2521,2522,2599,2604,2532,2527,2524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25143,25481,26199,26172,26324,26409,26076,26481,25546,26680,26048,26078,20934,16818,19097,24846,24835,24741,25020,25139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24951,25639,26069,26003,26019,26042,26041,26476,25349,26659,26040,26076,20764,16453,18555,24726,24795,24763,24860,24960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26735,26510,26824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2749,2748,1353,0,2253,0,2515,2504,0,0,0,0,0,0,0,0,25905,0,0,0,0,0,27121,0,0,0,0,0,0,0,0,0
[5] http://education.data.gov.uk/def/school/EBD,508,-,-,-,-,-,-,2,0,2,51,0,252,239,487,0,482,504,504,508,0,0,0,0,0,0,0,0,0,0,135,426,0,504,0,339,0,0,0,0,508,0,0,0,503,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,238,503,486,0,157,0,0,0,0,0,0,0,1,505,1,2,490,3,508,508,508,0,1,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,493,502,0,0,0,0,508,508,0,508,0,0,0,350,0,6,0,0,0,45,52,421,486,371,504,2,414,0,43,68,0,122,247,0,0,469,81,0,8,60,252,501,502,252,71,0,0,0,0,0,0,0,0,0,0,0,508,508,504,508,26,0,0,0,0,0,0,508,508,0,483,483,0,0,0,0,0
[6] http://education.data.gov.uk/def/school/EIC,3576,-,-,-,-,-,-,-,767,3398,73,0,3163,3159,3,171,3541,3573,3573,3576,0,0,0,0,0,0,0,0,0,0,1494,3431,0,5,0,1203,0,1,1,0,3576,0,0,0,3573,1246,0,0,69,3576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3561,3537,3573,3576,0,598,1,0,1,0,1,0,0,725,3573,8,819,4,379,3576,3575,3576,37,17,0,3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3576,3,0,0,0,0,3576,3576,1172,3576,0,0,1020,3344,0,34,0,0,0,2244,1328,3573,3576,213,3573,3525,4,0,429,919,0,600,81,0,3,3576,3409,153,76,3359,3561,3575,3575,3561,0,0,0,0,1,0,1,0,0,0,48,48,3576,3576,3573,3576,1443,0,0,0,0,0,0,3576,3576,0,3575,3575,0,0,0,0,0
[7] http://education.data.gov.uk/def/school/EICCLS,776,-,-,-,-,-,-,-,-,767,9,1,671,671,0,110,776,774,774,776,0,0,0,0,0,0,0,0,0,0,339,718,0,1,0,686,0,0,0,0,776,0,0,0,774,756,0,0,38,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,774,774,776,0,172,0,0,0,0,0,0,0,164,774,0,77,0,137,776,776,776,11,8,1,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,0,0,0,0,0,776,776,717,776,0,0,604,736,0,14,0,0,0,16,770,773,776,32,774,775,0,0,32,141,0,172,6,0,0,776,722,103,11,745,776,776,776,776,0,0,0,0,0,0,0,0,0,0,14,14,776,776,774,776,383,0,0,0,0,0,0,776,776,0,776,776,0,0,0,0,0
[8] http://education.data.gov.uk/def/school/EICGroup,4531,-,-,-,-,-,-,-,-,-,108,0,3988,3984,3,163,4475,4528,4528,4531,0,0,0,0,0,0,0,0,0,0,1852,4380,0,5,0,1163,0,1,1,0,4531,0,0,0,4528,1212,0,0,75,4531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4511,4478,4528,4531,0,769,1,0,1,0,1,0,0,873,4528,11,857,4,612,4531,4530,4531,33,18,0,4530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4531,3,0,0,0,0,4531,4531,1138,4531,0,0,990,4206,0,38,0,0,0,3229,1345,4528,4531,310,4528,4488,4,0,587,1299,0,774,117,0,4,4531,4374,148,76,4228,4511,4530,4530,4511,0,0,0,0,1,0,1,0,0,0,48,49,4531,4531,4528,4531,1699,0,0,0,0,0,0,4531,4531,0,4530,4530,0,0,0,0,0
[9] http://education.data.gov.uk/def/school/EYGovernmentFundedChildren,24336,-,-,-,-,-,-,-,-,-,-,4,538,534,51,1,22694,22939,22939,24336,0,0,0,0,0,0,0,0,0,0,360,809,111,53,111,266,109,107,110,7,24261,0,0,0,22890,221,12,10,1,24336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24335,346,22934,24336,39,511,112,0,109,7,109,0,16,74,23404,25,37,52,30,24334,1607,24336,1,17,8,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,23760,51,33,91,6,94,24336,24336,36,24336,32,90,42,534,99,104,0,0,0,423,84,522,24336,726,22941,437,38,0,3,10,108,260,304,0,22618,18168,496,0,73,145,24333,1490,1486,24335,7,0,0,0,116,0,116,0,0,0,2,2,24336,24336,23071,24261,184,0,0,0,0,0,0,24336,24334,0,23731,23731,0,0,0,0,0
