Number of unique subjects: 123,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26]
[0] http://purl.org/dc/elements/1.1/contributor,2,-,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
[1] http://purl.org/dc/elements/1.1/creator,2,-,-,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
[2] http://purl.org/dc/elements/1.1/date,1,-,-,-,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
[3] http://purl.org/dc/elements/1.1/format,2,-,-,-,-,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/identifier,1,-,-,-,-,-,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
[5] http://purl.org/dc/elements/1.1/rights,1,-,-,-,-,-,-,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
[6] http://purl.org/dc/elements/1.1/title,1,-,-,-,-,-,-,-,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
[7] http://purl.org/dc/terms/issued,15,-,-,-,-,-,-,-,-,1,1,0,0,0,0,15,10,5,9,9,5,4,1,1,1,0,3,9
[8] http://vocab.org/vann/.html#preferredNamespacePrefix,1,-,-,-,-,-,-,-,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
[9] http://vocab.org/vann/.html#preferredNamespaceUri,1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
[10] http://web.resource.org/cc/permits,3,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[11] http://web.resource.org/cc/requires,2,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[12] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,4,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0
[13] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
[14] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,48,9,42,48,20,6,1,9,2,3,9
[15] http://www.w3.org/2000/01/rdf-schema#comment,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,9,34,21,8,6,1,4,0,1,5
[16] http://www.w3.org/2000/01/rdf-schema#domain,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,16,47,0,1,0,9,0,2,4
[17] http://www.w3.org/2000/01/rdf-schema#isDefinedBy,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,4,4,1,1,1,0,1,4
[18] http://www.w3.org/2000/01/rdf-schema#label,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,14,6,1,4,0,1,4
[19] http://www.w3.org/2000/01/rdf-schema#range,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,9,0,2,4
[20] http://www.w3.org/2000/01/rdf-schema#subClassOf,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
[21] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1
[22] http://www.w3.org/2002/07/owl#disjointWith,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1
[23] http://www.w3.org/2002/07/owl#inverseOf,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1
[24] http://www.w3.org/2002/07/owl#unionOf,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[25] http://www.w3.org/2003/06/sw-vocab-status/ns#term_status,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
[26] http://www.w3.org/2004/02/skos/core#historyNote,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
