Number of unique subjects: 8,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]
[0] http://purl.org/dc/terms/description,1,-,1,1,0,0,1,1,1,1,1,0
[1] http://purl.org/dc/terms/license,1,-,-,1,0,0,1,1,1,1,1,0
[2] http://purl.org/dc/terms/modified,1,-,-,-,0,0,1,1,1,1,1,0
[3] http://purl.org/linked-data/api/vocab#definition,1,-,-,-,-,1,0,0,0,1,0,1
[4] http://purl.org/linked-data/api/vocab#extendedMetadataVersion,1,-,-,-,-,-,0,0,0,1,0,1
[5] http://rdfs.org/ns/void#subset,6,-,-,-,-,-,-,1,1,1,1,0
[6] http://rdfs.org/ns/void#uriRegexPattern,1,-,-,-,-,-,-,-,1,1,1,0
[7] http://rdfs.org/ns/void#vocabulary,5,-,-,-,-,-,-,-,-,1,1,0
[8] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3,-,-,-,-,-,-,-,-,-,1,1
[9] http://www.w3.org/2000/01/rdf-schema#label,7,-,-,-,-,-,-,-,-,-,-,0
[10] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-
