Number of unique subjects: 5560,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22]
[0] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#annex1Code,213,-,0,213,0,60,213,0,198,198,213,213,213,180,213,213,213,195,0,0,213,213,0,213
[1] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#classRef,4489,-,-,4489,4418,179,4489,4489,4489,4489,4489,4489,4489,0,0,4489,4489,3635,0,0,4489,4489,4489,4489
[2] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#code,5559,-,-,-,4418,520,5515,5283,5531,5542,5515,5559,5559,239,275,5559,5559,4154,0,0,5559,5559,5282,5559
[3] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#codePart2,4418,-,-,-,-,124,4418,4418,4418,4418,4418,4418,4418,0,0,4418,4418,3634,0,0,4418,4418,4418,4418
[4] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#comment,520,-,-,-,-,-,520,455,520,520,520,520,520,64,65,520,520,182,0,0,520,520,455,520
[5] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#description,5515,-,-,-,-,-,-,5282,5489,5500,5515,5515,5515,198,233,5515,5515,4154,0,0,5515,5515,5282,5515
[6] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#habitatCode,5283,-,-,-,-,-,-,-,5271,5282,5282,5283,5283,0,0,5283,5283,3939,0,0,5283,5283,5282,5283
[7] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#hasAncestor,20987,-,-,-,-,-,-,-,-,5531,5489,5531,5531,239,260,5531,5531,4147,0,0,5531,5531,5271,5531
[8] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#hasParent,5542,-,-,-,-,-,-,-,-,-,5500,5542,5542,239,260,5542,5542,4152,0,0,5542,5542,5282,5542
[9] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#hasReference,5515,-,-,-,-,-,-,-,-,-,-,5515,5515,198,233,5515,5515,4154,0,0,5515,5515,5282,5515
[10] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#level,5559,-,-,-,-,-,-,-,-,-,-,-,5559,239,275,5559,5559,4154,0,0,5559,5559,5282,5559
[11] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#name,5559,-,-,-,-,-,-,-,-,-,-,-,-,239,275,5559,5559,4154,0,0,5559,5559,5282,5559
[12] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#nationalName,2388,-,-,-,-,-,-,-,-,-,-,-,-,-,239,239,239,193,0,0,239,239,0,239
[13] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#natura2000Code,275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275,275,215,0,0,275,275,0,275
[14] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#originallyPublishedCode,5559,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5559,4154,0,0,5559,5559,5282,5559
[15] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#priority,5559,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4154,0,0,5559,5559,5282,5559
[16] http://eunis.eea.europa.eu/rdf/habitats-schema.rdf#typicalSpecies,29262,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4154,4154,3939,4154
[17] http://purl.org/dc/terms/creator,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,0
[18] http://purl.org/dc/terms/licence,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0
[19] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,5560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5560,5282,5559
[20] http://www.w3.org/2000/01/rdf-schema#label,5560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5282,5559
[21] http://www.w3.org/2002/07/owl#sameAs,5282,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5282
[22] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,5559,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
