Number of unique subjects: 314292,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29]
[0] http://purl.org/dc/elements/1.1/contributor,90082,-,0,45041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45041,0,0,0,45041,45041,0,0,45041,0
[1] http://purl.org/dc/elements/1.1/creator,45041,-,-,0,0,0,0,0,45041,45041,0,44046,0,0,45041,45041,0,0,0,0,45041,0,45041,0,0,45041,0,44046,0,0,0
[2] http://purl.org/dc/elements/1.1/publisher,45041,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45041,0,0,0,45041,45041,0,0,45041,0
[3] http://purl.org/dc/elements/1.1/source,45041,-,-,-,-,44620,45041,45041,0,0,0,0,0,0,0,0,0,0,0,45041,0,0,0,45041,45041,45041,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/type,44620,-,-,-,-,-,44620,44620,0,0,0,0,0,0,0,0,0,0,0,44620,0,0,0,44620,44620,44620,0,0,0,0,0
[5] http://purl.org/dc/terms/alternative,45041,-,-,-,-,-,-,45041,0,0,0,0,0,0,0,0,0,0,0,45041,0,0,0,45041,45041,45041,0,0,0,0,0
[6] http://purl.org/dc/terms/spatial,45041,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,45041,0,0,0,45041,45041,45041,0,0,0,0,0
[7] http://www.europeana.eu/schemas/edm/aggregatedCHO,90082,-,-,-,-,-,-,-,-,45041,45041,44046,45041,45041,45041,45041,44046,45041,45041,0,45041,0,45041,0,0,90082,0,44046,0,0,0
[8] http://www.europeana.eu/schemas/edm/country,45041,-,-,-,-,-,-,-,-,-,0,44046,0,0,45041,45041,0,0,0,0,45041,0,45041,0,0,45041,0,44046,0,0,0
[9] http://www.europeana.eu/schemas/edm/dataProvider,45041,-,-,-,-,-,-,-,-,-,-,0,45041,45041,0,0,44046,45041,45041,0,0,0,0,0,0,45041,0,0,0,0,0
[10] http://www.europeana.eu/schemas/edm/hasView,44046,-,-,-,-,-,-,-,-,-,-,-,0,0,44046,44046,0,0,0,0,44046,0,44046,0,0,44046,0,44046,0,0,0
[11] http://www.europeana.eu/schemas/edm/isShownAt,45041,-,-,-,-,-,-,-,-,-,-,-,-,45041,0,0,44046,45041,45041,0,0,0,0,0,0,45041,0,0,0,0,0
[12] http://www.europeana.eu/schemas/edm/isShownBy,45041,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,44046,45041,45041,0,0,0,0,0,0,45041,0,0,0,0,0
[13] http://www.europeana.eu/schemas/edm/landingPage,45041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45041,0,0,0,0,45041,0,45041,0,0,45041,0,44046,0,0,0
[14] http://www.europeana.eu/schemas/edm/language,45041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,45041,0,45041,0,0,45041,0,44046,0,0,0
[15] http://www.europeana.eu/schemas/edm/object,44046,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44046,44046,0,0,0,0,0,0,44046,0,0,0,0,0
[16] http://www.europeana.eu/schemas/edm/provider,45041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45041,0,0,0,0,0,0,45041,0,0,0,0,0
[17] http://www.europeana.eu/schemas/edm/rights,45041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,45041,0,0,0,0,0
[18] http://www.europeana.eu/schemas/edm/type,45041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,45041,45041,45041,0,0,0,0,0
[19] http://www.openarchives.org/ore/terms/aggregates,45041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,45041,0,0,45041,0,44046,0,0,0
[20] http://www.openarchives.org/ore/terms/describes,45041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,45041,45041,0,0,45041,0
[21] http://www.openarchives.org/ore/terms/isDescribedBy,45041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,45041,0,44046,0,0,0
[22] http://www.openarchives.org/ore/terms/proxyFor,90082,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90082,90082,0,0,0,0,0
[23] http://www.openarchives.org/ore/terms/proxyIn,90082,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90082,0,0,0,0,0
[24] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,270246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45041,44046,45041,45041,0
[25] http://www.w3.org/1999/xhtml/vocab#license,45041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,45041,0
[26] http://xmlns.com/foaf/0.1/depiction,44046,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[27] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,90082,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[28] http://xmlns.com/foaf/0.1/primaryTopic,45041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[29] http://xmlns.com/foaf/0.1/thumbnail,44046,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
