Number of unique subjects: 6139,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33]
[0] http://purl.org/dc/elements/1.1/contributor,1754,-,0,0,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,0,0,0,877,877,0,0,877,0
[1] http://purl.org/dc/elements/1.1/creator,1754,-,-,645,877,877,874,863,877,877,877,877,877,877,0,877,0,877,877,0,0,0,877,0,877,0,877,877,877,1754,0,877,0,0,0
[2] http://purl.org/dc/elements/1.1/description,645,-,-,-,645,645,642,640,645,645,645,645,0,0,0,0,0,0,0,0,0,0,645,0,0,0,0,645,645,645,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/identifier,877,-,-,-,-,877,874,863,877,877,877,877,0,0,0,0,0,0,0,0,0,0,877,0,0,0,0,877,877,877,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/publisher,1754,-,-,-,-,-,874,863,877,877,877,877,0,0,0,0,0,0,0,0,0,0,877,0,0,877,0,877,877,1754,877,0,0,877,0
[5] http://purl.org/dc/elements/1.1/subject,2372,-,-,-,-,-,-,860,874,874,874,874,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,874,874,874,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/title,863,-,-,-,-,-,-,-,863,863,863,863,0,0,0,0,0,0,0,0,0,0,863,0,0,0,0,863,863,863,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/type,877,-,-,-,-,-,-,-,-,877,877,877,0,0,0,0,0,0,0,0,0,0,877,0,0,0,0,877,877,877,0,0,0,0,0
[8] http://purl.org/dc/terms/isPartOf,877,-,-,-,-,-,-,-,-,-,877,877,0,0,0,0,0,0,0,0,0,0,877,0,0,0,0,877,877,877,0,0,0,0,0
[9] http://purl.org/dc/terms/spatial,877,-,-,-,-,-,-,-,-,-,-,877,0,0,0,0,0,0,0,0,0,0,877,0,0,0,0,877,877,877,0,0,0,0,0
[10] http://purl.org/dc/terms/temporal,877,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,877,0,0,0,0,877,877,877,0,0,0,0,0
[11] http://www.europeana.eu/schemas/edm/aggregatedCHO,1754,-,-,-,-,-,-,-,-,-,-,-,-,877,877,877,877,877,877,877,877,877,0,0,877,0,877,0,0,1754,0,877,0,0,0
[12] http://www.europeana.eu/schemas/edm/country,877,-,-,-,-,-,-,-,-,-,-,-,-,-,0,877,0,877,877,0,0,0,0,0,877,0,877,0,0,877,0,877,0,0,0
[13] http://www.europeana.eu/schemas/edm/dataProvider,877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,877,0,0,877,877,877,0,0,0,0,0,0,0,877,0,0,0,0,0
[14] http://www.europeana.eu/schemas/edm/hasView,877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,877,877,0,0,0,0,0,877,0,877,0,0,877,0,877,0,0,0
[15] http://www.europeana.eu/schemas/edm/isShownAt,877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,877,877,877,0,0,0,0,0,0,0,877,0,0,0,0,0
[16] http://www.europeana.eu/schemas/edm/landingPage,877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,877,0,0,0,0,0,877,0,877,0,0,877,0,877,0,0,0
[17] http://www.europeana.eu/schemas/edm/language,877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,877,0,877,0,0,877,0,877,0,0,0
[18] http://www.europeana.eu/schemas/edm/object,877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,877,877,0,0,0,0,0,0,0,877,0,0,0,0,0
[19] http://www.europeana.eu/schemas/edm/provider,877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,877,0,0,0,0,0,0,0,877,0,0,0,0,0
[20] http://www.europeana.eu/schemas/edm/rights,877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,877,0,0,0,0,0
