Number of unique subjects: 1281,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31]
[0] http://purl.org/dc/elements/1.1/contributor,366,-,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,183,183,0,0,183,0
[1] http://purl.org/dc/elements/1.1/creator,366,-,-,180,183,183,183,183,183,183,183,183,0,183,0,183,183,0,0,0,183,0,183,0,183,183,183,366,0,183,0,0,0
[2] http://purl.org/dc/elements/1.1/description,180,-,-,-,180,180,180,180,180,180,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,180,180,180,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/identifier,183,-,-,-,-,183,183,183,183,183,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,183,183,183,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/publisher,366,-,-,-,-,-,183,183,183,183,0,0,0,0,0,0,0,0,0,0,183,0,0,183,0,183,183,366,183,0,0,183,0
[5] http://purl.org/dc/elements/1.1/title,183,-,-,-,-,-,-,183,183,183,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,183,183,183,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/type,183,-,-,-,-,-,-,-,183,183,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,183,183,183,0,0,0,0,0
[7] http://purl.org/dc/terms/isPartOf,183,-,-,-,-,-,-,-,-,183,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,183,183,183,0,0,0,0,0
[8] http://purl.org/dc/terms/temporal,183,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,183,183,183,0,0,0,0,0
[9] http://www.europeana.eu/schemas/edm/aggregatedCHO,366,-,-,-,-,-,-,-,-,-,-,183,183,183,183,183,183,183,183,183,0,0,183,0,183,0,0,366,0,183,0,0,0
