Number of unique subjects: 8099,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31]
[0] http://purl.org/dc/elements/1.1/contributor,2314,-,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,0,0,0,1157,1157,0,0,1157,0
[1] http://purl.org/dc/elements/1.1/creator,2309,-,-,534,1152,1152,1075,1152,1152,1152,1157,1157,0,1157,0,1157,1157,0,0,0,1152,0,1157,0,1157,1152,1152,2309,0,1157,0,0,0
[2] http://purl.org/dc/elements/1.1/description,534,-,-,-,534,534,486,534,534,534,0,0,0,0,0,0,0,0,0,0,534,0,0,0,0,534,534,534,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/identifier,1157,-,-,-,-,1157,1080,1157,1157,1157,0,0,0,0,0,0,0,0,0,0,1157,0,0,0,0,1157,1157,1157,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/publisher,2314,-,-,-,-,-,1080,1157,1157,1157,0,0,0,0,0,0,0,0,0,0,1157,0,0,1157,0,1157,1157,2314,1157,0,0,1157,0
[5] http://purl.org/dc/elements/1.1/title,1080,-,-,-,-,-,-,1080,1080,1080,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,1080,1080,1080,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/type,1157,-,-,-,-,-,-,-,1157,1157,0,0,0,0,0,0,0,0,0,0,1157,0,0,0,0,1157,1157,1157,0,0,0,0,0
[7] http://purl.org/dc/terms/isPartOf,1157,-,-,-,-,-,-,-,-,1157,0,0,0,0,0,0,0,0,0,0,1157,0,0,0,0,1157,1157,1157,0,0,0,0,0
[8] http://purl.org/dc/terms/temporal,1157,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1157,0,0,0,0,1157,1157,1157,0,0,0,0,0
[9] http://www.europeana.eu/schemas/edm/aggregatedCHO,2314,-,-,-,-,-,-,-,-,-,-,1157,1157,1157,1157,1157,1157,1157,1157,1157,0,0,1157,0,1157,0,0,2314,0,1157,0,0,0
[10] http://www.europeana.eu/schemas/edm/country,1157,-,-,-,-,-,-,-,-,-,-,-,0,1157,0,1157,1157,0,0,0,0,0,1157,0,1157,0,0,1157,0,1157,0,0,0
[11] http://www.europeana.eu/schemas/edm/dataProvider,1157,-,-,-,-,-,-,-,-,-,-,-,-,0,1157,0,0,1157,1157,1157,0,0,0,0,0,0,0,1157,0,0,0,0,0
[12] http://www.europeana.eu/schemas/edm/hasView,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1157,1157,0,0,0,0,0,1157,0,1157,0,0,1157,0,1157,0,0,0
[13] http://www.europeana.eu/schemas/edm/isShownAt,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1157,1157,1157,0,0,0,0,0,0,0,1157,0,0,0,0,0
[14] http://www.europeana.eu/schemas/edm/landingPage,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1157,0,0,0,0,0,1157,0,1157,0,0,1157,0,1157,0,0,0
[15] http://www.europeana.eu/schemas/edm/language,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1157,0,1157,0,0,1157,0,1157,0,0,0
[16] http://www.europeana.eu/schemas/edm/object,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1157,1157,0,0,0,0,0,0,0,1157,0,0,0,0,0
[17] http://www.europeana.eu/schemas/edm/provider,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1157,0,0,0,0,0,0,0,1157,0,0,0,0,0
[18] http://www.europeana.eu/schemas/edm/rights,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1157,0,0,0,0,0
[19] http://www.europeana.eu/schemas/edm/type,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1157,1157,1157,0,0,0,0,0
[20] http://www.europeana.eu/schemas/edm/year,970,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,869,869,869,0,0,0,0,0
[21] http://www.openarchives.org/ore/terms/aggregates,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1157,0,0,1157,0,1157,0,0,0
[22] http://www.openarchives.org/ore/terms/describes,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1157,1157,0,0,1157,0
[23] http://www.openarchives.org/ore/terms/isDescribedBy,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1157,0,1157,0,0,0
[24] http://www.openarchives.org/ore/terms/proxyFor,2314,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2314,2314,0,0,0,0,0
[25] http://www.openarchives.org/ore/terms/proxyIn,2314,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2314,0,0,0,0,0
[26] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,6942,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1157,1157,1157,1157,0
[27] http://www.w3.org/1999/xhtml/vocab#license,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1157,0
[28] http://xmlns.com/foaf/0.1/depiction,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[29] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,2314,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[30] http://xmlns.com/foaf/0.1/primaryTopic,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[31] http://xmlns.com/foaf/0.1/thumbnail,1157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
