Number of unique subjects: 3375,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33]
[0] http://purl.org/dc/elements/1.1/contributor,966,-,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,483,483,0,0,483,0
[1] http://purl.org/dc/elements/1.1/creator,483,-,-,0,0,0,0,0,0,0,0,0,0,483,483,0,477,0,483,483,0,0,0,0,483,0,483,0,0,483,0,477,0,0,0
[2] http://purl.org/dc/elements/1.1/description,580,-,-,-,481,0,0,481,481,38,46,441,71,0,0,0,0,0,0,0,0,0,0,481,0,0,0,481,481,481,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/identifier,483,-,-,-,-,0,0,483,483,38,46,443,71,0,0,0,0,0,0,0,0,0,0,483,0,0,0,483,483,483,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/publisher,483,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,483,483,0,0,483,0
[5] http://purl.org/dc/elements/1.1/rights,483,-,-,-,-,-,-,0,0,0,0,0,0,483,0,483,0,483,0,0,477,483,483,0,0,0,0,0,0,483,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/title,483,-,-,-,-,-,-,-,483,38,46,443,71,0,0,0,0,0,0,0,0,0,0,483,0,0,0,483,483,483,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/type,484,-,-,-,-,-,-,-,-,38,46,443,71,0,0,0,0,0,0,0,0,0,0,483,0,0,0,483,483,483,0,0,0,0,0
[8] http://purl.org/dc/terms/alternative,38,-,-,-,-,-,-,-,-,-,31,7,7,0,0,0,0,0,0,0,0,0,0,38,0,0,0,38,38,38,0,0,0,0,0
[9] http://purl.org/dc/terms/created,46,-,-,-,-,-,-,-,-,-,-,13,6,0,0,0,0,0,0,0,0,0,0,46,0,0,0,46,46,46,0,0,0,0,0
[10] http://purl.org/dc/terms/extent,443,-,-,-,-,-,-,-,-,-,-,-,71,0,0,0,0,0,0,0,0,0,0,443,0,0,0,443,443,443,0,0,0,0,0
[11] http://purl.org/dc/terms/medium,71,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,71,0,0,0,71,71,71,0,0,0,0,0
[12] http://www.europeana.eu/schemas/edm/aggregatedCHO,966,-,-,-,-,-,-,-,-,-,-,-,-,-,483,483,477,483,483,483,477,483,483,0,483,0,483,0,0,966,0,477,0,0,0
[13] http://www.europeana.eu/schemas/edm/country,483,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,477,0,483,483,0,0,0,0,483,0,483,0,0,483,0,477,0,0,0
[14] http://www.europeana.eu/schemas/edm/dataProvider,483,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,483,0,0,477,483,483,0,0,0,0,0,0,483,0,0,0,0,0
[15] http://www.europeana.eu/schemas/edm/hasView,477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,477,477,0,0,0,0,477,0,477,0,0,477,0,477,0,0,0
