Number of unique subjects: 75943,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33]
[0] http://purl.org/dc/elements/1.1/contributor,25725,-,0,3037,3047,3047,3047,3047,13815,0,3047,2801,3047,3047,0,0,0,0,0,0,0,0,0,3047,0,10849,0,3047,3047,13896,10849,0,0,10849,0
[1] http://purl.org/dc/elements/1.1/coverage,1,-,-,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
[2] http://purl.org/dc/elements/1.1/creator,30553,-,-,-,10827,10827,10827,10827,9231,0,10827,8428,10827,10827,10849,10849,0,10849,0,10849,10849,0,0,10827,10849,0,10849,10827,10827,21676,0,10849,0,0,0
[3] http://purl.org/dc/elements/1.1/description,10850,-,-,-,-,10849,10849,10849,9250,0,10849,8434,10849,10849,0,0,0,0,0,0,0,0,0,10849,0,0,0,10849,10849,10849,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/format,10849,-,-,-,-,-,10849,10849,9250,0,10849,8434,10849,10849,0,0,0,0,0,0,0,0,0,10849,0,0,0,10849,10849,10849,0,0,0,0,0
[5] http://purl.org/dc/elements/1.1/identifier,10850,-,-,-,-,-,-,10849,9250,0,10849,8434,10849,10849,0,0,0,0,0,0,0,0,0,10849,0,0,0,10849,10849,10849,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/language,10865,-,-,-,-,-,-,-,9250,0,10849,8434,10849,10849,0,0,0,0,0,0,0,0,0,10849,0,0,0,10849,10849,10849,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/publisher,20385,-,-,-,-,-,-,-,-,0,9250,8426,9250,9250,0,0,0,0,0,0,0,0,0,9250,0,10849,0,9250,9250,20099,10849,0,0,10849,0
[8] http://purl.org/dc/elements/1.1/rights,10849,-,-,-,-,-,-,-,-,-,0,0,0,0,10849,0,10849,0,10849,0,0,10849,10849,0,0,0,0,0,0,10849,0,0,0,0,0
[9] http://purl.org/dc/elements/1.1/source,10849,-,-,-,-,-,-,-,-,-,-,8434,10849,10849,0,0,0,0,0,0,0,0,0,10849,0,0,0,10849,10849,10849,0,0,0,0,0
[10] http://purl.org/dc/elements/1.1/subject,30933,-,-,-,-,-,-,-,-,-,-,-,8434,8434,0,0,0,0,0,0,0,0,0,8434,0,0,0,8434,8434,8434,0,0,0,0,0
[11] http://purl.org/dc/elements/1.1/title,10849,-,-,-,-,-,-,-,-,-,-,-,-,10849,0,0,0,0,0,0,0,0,0,10849,0,0,0,10849,10849,10849,0,0,0,0,0
[12] http://purl.org/dc/elements/1.1/type,10849,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,10849,0,0,0,10849,10849,10849,0,0,0,0,0
[13] http://www.europeana.eu/schemas/edm/aggregatedCHO,21698,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10849,10849,10849,10849,10849,10849,10849,10849,0,10849,0,10849,0,0,21698,0,10849,0,0,0
[14] http://www.europeana.eu/schemas/edm/country,10849,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,10849,0,10849,10849,0,0,0,10849,0,10849,0,0,10849,0,10849,0,0,0
[15] http://www.europeana.eu/schemas/edm/dataProvider,10849,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,10849,0,0,10849,10849,0,0,0,0,0,0,10849,0,0,0,0,0
[16] http://www.europeana.eu/schemas/edm/hasView,10849,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,10849,10849,0,0,0,10849,0,10849,0,0,10849,0,10849,0,0,0
[17] http://www.europeana.eu/schemas/edm/isShownBy,10849,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,10849,10849,0,0,0,0,0,0,10849,0,0,0,0,0
