Number of unique subjects: 217623,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37]
[0] http://purl.org/dc/elements/1.1/contributor,31089,-,0,0,0,0,0,31089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31089,0,0,0,31089,31089,0,0,31089,0
[1] http://purl.org/dc/elements/1.1/creator,57928,-,-,26775,26831,26839,26839,0,0,26839,26839,26839,26794,14817,26839,26797,26151,31089,31089,31089,0,0,31089,31089,0,0,26839,0,31089,0,31089,26839,26839,57928,0,31089,0,0,0
[2] http://purl.org/dc/elements/1.1/date,30955,-,-,-,30950,30955,30955,0,0,30955,30955,30955,30939,18134,30955,30855,30260,0,0,0,0,0,0,0,0,0,30955,0,0,0,0,30955,30955,30955,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/description,33127,-,-,-,-,31052,31052,0,0,31052,31052,31052,30968,18204,31052,30929,30324,0,0,0,0,0,0,0,0,0,31052,0,0,0,0,31052,31052,31052,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/format,31089,-,-,-,-,-,31089,0,0,31089,31089,31089,30975,18237,31089,30940,30332,0,0,0,0,0,0,0,0,0,31089,0,0,0,0,31089,31089,31089,0,0,0,0,0
[5] http://purl.org/dc/elements/1.1/identifier,62178,-,-,-,-,-,-,0,0,31089,31089,31089,30975,18237,31089,30940,30332,0,0,0,0,0,0,0,0,0,31089,0,0,0,0,31089,31089,31089,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/publisher,31089,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31089,0,0,0,31089,31089,0,0,31089,0
[7] http://purl.org/dc/elements/1.1/rights,31089,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,31089,0,0,31089,31089,0,0,31089,31089,0,0,0,0,0,0,0,31089,0,0,0,0,0
[8] http://purl.org/dc/elements/1.1/subject,170526,-,-,-,-,-,-,-,-,-,31089,31089,30975,18237,31089,30940,30332,0,0,0,0,0,0,0,0,0,31089,0,0,0,0,31089,31089,31089,0,0,0,0,0
[9] http://purl.org/dc/elements/1.1/title,31089,-,-,-,-,-,-,-,-,-,-,31089,30975,18237,31089,30940,30332,0,0,0,0,0,0,0,0,0,31089,0,0,0,0,31089,31089,31089,0,0,0,0,0
[10] http://purl.org/dc/elements/1.1/type,62119,-,-,-,-,-,-,-,-,-,-,-,30975,18237,31089,30940,30332,0,0,0,0,0,0,0,0,0,31089,0,0,0,0,31089,31089,31089,0,0,0,0,0
[11] http://purl.org/dc/terms/created,30975,-,-,-,-,-,-,-,-,-,-,-,-,18150,30975,30873,30273,0,0,0,0,0,0,0,0,0,30975,0,0,0,0,30975,30975,30975,0,0,0,0,0
[12] http://purl.org/dc/terms/extent,54301,-,-,-,-,-,-,-,-,-,-,-,-,-,18237,18135,17585,0,0,0,0,0,0,0,0,0,18237,0,0,0,0,18237,18237,18237,0,0,0,0,0
[13] http://purl.org/dc/terms/isPartOf,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30940,30332,0,0,0,0,0,0,0,0,0,31089,0,0,0,0,31089,31089,31089,0,0,0,0,0
[14] http://purl.org/dc/terms/medium,30940,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30246,0,0,0,0,0,0,0,0,0,30940,0,0,0,0,30940,30940,30940,0,0,0,0,0
[15] http://purl.org/dc/terms/spatial,60464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,30332,0,0,0,0,30332,30332,30332,0,0,0,0,0
[16] http://www.europeana.eu/schemas/edm/aggregatedCHO,62178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31089,31089,31089,31089,31089,31089,31089,31089,0,0,31089,0,31089,0,0,62178,0,31089,0,0,0
[17] http://www.europeana.eu/schemas/edm/country,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31089,0,0,31089,31089,0,0,0,0,31089,0,31089,0,0,31089,0,31089,0,0,0
[18] http://www.europeana.eu/schemas/edm/hasView,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,31089,31089,0,0,0,0,31089,0,31089,0,0,31089,0,31089,0,0,0
[19] http://www.europeana.eu/schemas/edm/isShownAt,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31089,0,0,31089,31089,0,0,0,0,0,0,0,31089,0,0,0,0,0
[20] http://www.europeana.eu/schemas/edm/isShownBy,62178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,31089,31089,0,0,0,0,0,0,0,31089,0,0,0,0,0
[21] http://www.europeana.eu/schemas/edm/landingPage,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31089,0,0,0,0,31089,0,31089,0,0,31089,0,31089,0,0,0
[22] http://www.europeana.eu/schemas/edm/language,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,31089,0,31089,0,0,31089,0,31089,0,0,0
[23] http://www.europeana.eu/schemas/edm/object,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31089,0,0,0,0,0,0,0,31089,0,0,0,0,0
[24] http://www.europeana.eu/schemas/edm/provider,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,31089,0,0,0,0,0
[25] http://www.europeana.eu/schemas/edm/type,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,31089,31089,31089,0,0,0,0,0
[26] http://www.europeana.eu/schemas/edm/year,31007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,30955,30955,30955,0,0,0,0,0
[27] http://www.openarchives.org/ore/terms/aggregates,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,31089,0,0,31089,0,31089,0,0,0
[28] http://www.openarchives.org/ore/terms/describes,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,31089,31089,0,0,31089,0
[29] http://www.openarchives.org/ore/terms/isDescribedBy,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,31089,0,31089,0,0,0
[30] http://www.openarchives.org/ore/terms/proxyFor,62178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62178,62178,0,0,0,0,0
[31] http://www.openarchives.org/ore/terms/proxyIn,62178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62178,0,0,0,0,0
[32] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,186534,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31089,31089,31089,31089,0
[33] http://www.w3.org/1999/xhtml/vocab#license,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,31089,0
[34] http://xmlns.com/foaf/0.1/depiction,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[35] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,62178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[36] http://xmlns.com/foaf/0.1/primaryTopic,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[37] http://xmlns.com/foaf/0.1/thumbnail,31089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
