Number of unique subjects: 174230,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
[0] http://purl.org/dc/elements/1.1/contributor,49780,-,0,0,0,0,24890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24890,0,0,0,24890,24890,0,0,24890,0
[1] http://purl.org/dc/elements/1.1/creator,24890,-,-,0,0,0,0,0,0,0,0,24890,24890,0,24890,0,24890,24890,0,0,0,0,0,24890,0,24890,0,0,24890,0,24890,0,0,0
[2] http://purl.org/dc/elements/1.1/date,24890,-,-,-,24832,18616,0,0,24890,24890,24890,0,0,0,0,0,0,0,0,0,0,24890,0,0,0,0,24890,24890,24890,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/description,24832,-,-,-,-,18616,0,0,24832,24832,24832,0,0,0,0,0,0,0,0,0,0,24832,0,0,0,0,24832,24832,24832,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/language,18616,-,-,-,-,-,0,0,18616,18616,18616,0,0,0,0,0,0,0,0,0,0,18616,0,0,0,0,18616,18616,18616,0,0,0,0,0
[5] http://purl.org/dc/elements/1.1/publisher,24890,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24890,0,0,0,24890,24890,0,0,24890,0
[6] http://purl.org/dc/elements/1.1/rights,24890,-,-,-,-,-,-,-,0,0,0,24890,0,24890,0,24890,0,0,24890,24890,24890,0,0,0,0,0,0,0,24890,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/source,24890,-,-,-,-,-,-,-,-,24890,24890,0,0,0,0,0,0,0,0,0,0,24890,0,0,0,0,24890,24890,24890,0,0,0,0,0
[8] http://purl.org/dc/elements/1.1/title,24890,-,-,-,-,-,-,-,-,-,24890,0,0,0,0,0,0,0,0,0,0,24890,0,0,0,0,24890,24890,24890,0,0,0,0,0
[9] http://purl.org/dc/elements/1.1/type,149340,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,24890,0,0,0,0,24890,24890,24890,0,0,0,0,0
[10] http://www.europeana.eu/schemas/edm/aggregatedCHO,49780,-,-,-,-,-,-,-,-,-,-,-,24890,24890,24890,24890,24890,24890,24890,24890,24890,0,0,24890,0,24890,0,0,49780,0,24890,0,0,0
[11] http://www.europeana.eu/schemas/edm/country,24890,-,-,-,-,-,-,-,-,-,-,-,-,0,24890,0,24890,24890,0,0,0,0,0,24890,0,24890,0,0,24890,0,24890,0,0,0
[12] http://www.europeana.eu/schemas/edm/dataProvider,24890,-,-,-,-,-,-,-,-,-,-,-,-,-,0,24890,0,0,24890,24890,24890,0,0,0,0,0,0,0,24890,0,0,0,0,0
[13] http://www.europeana.eu/schemas/edm/hasView,24890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,24890,24890,0,0,0,0,0,24890,0,24890,0,0,24890,0,24890,0,0,0
[14] http://www.europeana.eu/schemas/edm/isShownBy,24890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,24890,24890,24890,0,0,0,0,0,0,0,24890,0,0,0,0,0
[15] http://www.europeana.eu/schemas/edm/landingPage,24890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24890,0,0,0,0,0,24890,0,24890,0,0,24890,0,24890,0,0,0
[16] http://www.europeana.eu/schemas/edm/language,24890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,24890,0,24890,0,0,24890,0,24890,0,0,0
[17] http://www.europeana.eu/schemas/edm/object,24890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24890,24890,0,0,0,0,0,0,0,24890,0,0,0,0,0
[18] http://www.europeana.eu/schemas/edm/provider,24890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24890,0,0,0,0,0,0,0,24890,0,0,0,0,0
[19] http://www.europeana.eu/schemas/edm/rights,24890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,24890,0,0,0,0,0
[20] http://www.europeana.eu/schemas/edm/type,24890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,24890,24890,24890,0,0,0,0,0
