Number of unique subjects: 106506,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39]
[0] http://purl.org/dc/elements/1.1/contributor,30430,-,0,0,0,0,0,0,15215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15215,0,0,0,15215,15215,0,0,15215,0
[1] http://purl.org/dc/elements/1.1/coverage,235,-,-,220,213,216,211,221,0,0,221,221,221,25,221,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,221,221,221,0,0,0,0,0
[2] http://purl.org/dc/elements/1.1/creator,28546,-,-,-,11829,10662,10256,12787,0,0,12787,12598,12787,11648,12787,0,5,15215,15215,0,15215,0,0,15215,15215,0,0,0,12787,0,15215,0,15215,12787,12787,28002,0,15215,0,0,0
[3] http://purl.org/dc/elements/1.1/date,16128,-,-,-,-,11665,11091,13744,0,0,13744,13554,13744,12762,13744,1,860,0,0,0,0,0,0,0,0,0,0,0,13744,0,0,0,0,13744,13744,13744,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/description,15823,-,-,-,-,-,10496,12954,0,0,12954,12735,12954,11740,12954,1,903,0,0,0,0,0,0,0,0,0,0,0,12954,0,0,0,0,12954,12954,12954,0,0,0,0,0
[5] http://purl.org/dc/elements/1.1/format,12441,-,-,-,-,-,-,12440,0,0,12440,12206,12440,11703,12440,1,909,0,0,0,0,0,0,0,0,0,0,0,12440,0,0,0,0,12440,12440,12440,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/identifier,15216,-,-,-,-,-,-,-,0,0,15215,14949,15215,13998,15215,1,910,0,0,0,0,0,0,0,0,0,0,0,15215,0,0,0,0,15215,15215,15215,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/publisher,15215,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15215,0,0,0,15215,15215,0,0,15215,0
[8] http://purl.org/dc/elements/1.1/rights,15202,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,15202,0,15202,0,15202,15202,0,0,15202,15202,15202,0,0,0,0,0,0,0,15202,0,0,0,0,0
[9] http://purl.org/dc/elements/1.1/source,45645,-,-,-,-,-,-,-,-,-,-,14949,15215,13998,15215,1,910,0,0,0,0,0,0,0,0,0,0,0,15215,0,0,0,0,15215,15215,15215,0,0,0,0,0
[10] http://purl.org/dc/elements/1.1/subject,51640,-,-,-,-,-,-,-,-,-,-,-,14949,13760,14949,1,910,0,0,0,0,0,0,0,0,0,0,0,14949,0,0,0,0,14949,14949,14949,0,0,0,0,0
[11] http://purl.org/dc/elements/1.1/title,16850,-,-,-,-,-,-,-,-,-,-,-,-,13998,15215,1,910,0,0,0,0,0,0,0,0,0,0,0,15215,0,0,0,0,15215,15215,15215,0,0,0,0,0
[12] http://purl.org/dc/elements/1.1/type,13998,-,-,-,-,-,-,-,-,-,-,-,-,-,13998,1,910,0,0,0,0,0,0,0,0,0,0,0,13998,0,0,0,0,13998,13998,13998,0,0,0,0,0
[13] http://purl.org/dc/terms/hasFormat,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,910,0,0,0,0,0,0,0,0,0,0,0,15215,0,0,0,0,15215,15215,15215,0,0,0,0,0
[14] http://purl.org/dc/terms/spatial,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
[15] http://purl.org/dc/terms/temporal,910,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,910,0,0,0,0,910,910,910,0,0,0,0,0
[16] http://www.europeana.eu/schemas/edm/aggregatedCHO,30430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15215,15215,15215,15215,15215,15215,15215,15215,15215,15215,0,0,15215,0,15215,0,0,30430,0,15215,0,0,0
[17] http://www.europeana.eu/schemas/edm/country,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,15215,0,0,15215,15215,0,0,0,0,0,15215,0,15215,0,0,15215,0,15215,0,0,0
[18] http://www.europeana.eu/schemas/edm/dataProvider,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,15215,15215,0,0,15215,15215,15215,0,0,0,0,0,0,0,15215,0,0,0,0,0
[19] http://www.europeana.eu/schemas/edm/hasView,15216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,15215,15215,0,0,0,0,0,15215,0,15215,0,0,15215,0,15215,0,0,0
[20] http://www.europeana.eu/schemas/edm/isShownAt,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15215,0,0,15215,15215,15215,0,0,0,0,0,0,0,15215,0,0,0,0,0
[21] http://www.europeana.eu/schemas/edm/isShownBy,15216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,15215,15215,15215,0,0,0,0,0,0,0,15215,0,0,0,0,0
[22] http://www.europeana.eu/schemas/edm/landingPage,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15215,0,0,0,0,0,15215,0,15215,0,0,15215,0,15215,0,0,0
[23] http://www.europeana.eu/schemas/edm/language,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,15215,0,15215,0,0,15215,0,15215,0,0,0
[24] http://www.europeana.eu/schemas/edm/object,15216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15215,15215,0,0,0,0,0,0,0,15215,0,0,0,0,0
[25] http://www.europeana.eu/schemas/edm/provider,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15215,0,0,0,0,0,0,0,15215,0,0,0,0,0
[26] http://www.europeana.eu/schemas/edm/rights,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,15215,0,0,0,0,0
