Number of unique subjects: 31,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14]
[0] http://purl.org/dc/terms/description,1,-,1,1,1,1,1,1,1,1,1,1,0,0,1,0
[1] http://purl.org/dc/terms/license,1,-,-,1,1,1,1,1,1,1,1,1,0,0,1,0
[2] http://purl.org/dc/terms/modified,1,-,-,-,1,1,1,1,1,1,1,1,0,0,1,0
[3] http://purl.org/dc/terms/publisher,2,-,-,-,-,1,1,1,1,1,1,1,0,0,1,0
[4] http://purl.org/dc/terms/source,1,-,-,-,-,-,1,1,1,1,1,1,0,0,1,0
[5] http://purl.org/dc/terms/title,29,-,-,-,-,-,-,1,1,5,1,29,0,0,25,0
[6] http://rdfs.org/ns/void#dataDump,1,-,-,-,-,-,-,-,1,1,1,1,0,0,1,0
[7] http://rdfs.org/ns/void#exampleResource,1,-,-,-,-,-,-,-,-,1,1,1,0,0,1,0
[8] http://rdfs.org/ns/void#subset,28,-,-,-,-,-,-,-,-,-,1,5,0,0,1,0
[9] http://rdfs.org/ns/void#triples,1,-,-,-,-,-,-,-,-,-,-,1,0,0,1,0
[10] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,31,-,-,-,-,-,-,-,-,-,-,-,2,1,25,2
[11] http://www.w3.org/2000/01/rdf-schema#label,2,-,-,-,-,-,-,-,-,-,-,-,-,1,0,2
[12] http://www.w3.org/2002/07/owl#sameAs,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1
[13] http://xmlns.com/foaf/0.1/homepage,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[14] http://xmlns.com/foaf/0.1/mbox,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
