Number of unique subjects: 396,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69]
[0] http://purl.org/dc/terms/description,6,-,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0
[1] http://purl.org/dc/terms/modified,1,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
[2] http://purl.org/dc/terms/source,58,-,-,-,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,30,0,0,0,6,0,0,0,0,0,0,0,0,31,0,0,0,0,5,14,0,0,0,0,0,31,31,31,0,0,0,0,0,58,57,36,31,31,58,0,4,6,3,20,0,3,3,0,0,0,6,0
[3] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/GDPNotes,190,-,-,-,-,188,190,190,168,168,168,189,189,189,189,190,150,189,190,190,190,190,189,190,190,189,189,189,189,152,181,181,0,181,181,1,189,2,29,189,189,189,189,190,190,190,190,190,190,190,190,190,0,0,0,190,190,190,0,0,0,0,0,0,0,0,0,0,0,190,0
[4] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/GDPTotalInCurrentPrices,192,-,-,-,-,-,188,192,169,169,169,191,191,191,191,192,152,191,192,192,192,192,191,192,191,191,191,191,191,153,182,182,0,182,182,1,190,2,30,191,191,191,191,192,192,192,192,192,192,192,192,192,0,0,0,192,192,192,1,0,0,0,0,0,0,0,0,0,0,192,0
[5] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/GDPUnit,190,-,-,-,-,-,-,190,168,168,168,189,189,189,189,190,150,189,190,190,190,190,189,190,190,189,189,189,189,152,181,181,0,181,181,1,189,2,29,189,189,189,189,190,190,190,190,190,190,190,190,190,0,0,0,190,190,190,0,0,0,0,0,0,0,0,0,0,0,190,0
[6] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/GDPYear,194,-,-,-,-,-,-,-,170,170,170,193,193,193,193,194,154,193,194,194,194,194,193,194,193,193,193,193,193,154,183,183,0,183,183,2,192,3,30,193,193,193,193,194,194,194,194,194,194,194,194,194,0,0,0,194,194,194,1,0,0,0,0,0,0,0,0,0,0,194,0
[7] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/HDINotes,170,-,-,-,-,-,-,-,-,170,170,170,170,170,170,170,133,169,170,170,170,170,169,170,170,170,170,170,170,146,162,162,0,162,162,0,169,2,29,170,170,170,170,170,170,170,170,170,170,170,170,170,0,0,0,170,170,170,0,0,0,0,0,0,0,0,0,0,0,170,0
[8] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/HDITotal,170,-,-,-,-,-,-,-,-,-,170,170,170,170,170,170,133,169,170,170,170,170,169,170,170,170,170,170,170,146,162,162,0,162,162,0,169,2,29,170,170,170,170,170,170,170,170,170,170,170,170,170,0,0,0,170,170,170,0,0,0,0,0,0,0,0,0,0,0,170,0
[9] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/HDIYear,170,-,-,-,-,-,-,-,-,-,-,170,170,170,170,170,133,169,170,170,170,170,169,170,170,170,170,170,170,146,162,162,0,162,162,0,169,2,29,170,170,170,170,170,170,170,170,170,170,170,170,170,0,0,0,170,170,170,0,0,0,0,0,0,0,0,0,0,0,170,0
[10] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/agriculturalAreaNotes,217,-,-,-,-,-,-,-,-,-,-,-,217,217,217,217,167,211,217,217,217,217,216,217,213,217,217,217,217,155,187,187,0,187,187,20,205,3,30,217,217,217,217,217,217,217,217,217,217,217,217,217,0,0,0,216,216,217,2,0,0,0,0,0,0,0,0,0,0,217,0
[11] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/agriculturalAreaTotal,223,-,-,-,-,-,-,-,-,-,-,-,-,223,223,220,169,213,223,219,220,220,219,223,216,219,223,223,223,156,187,187,0,187,187,22,206,7,31,219,223,223,223,219,220,223,223,219,219,219,219,219,0,0,0,222,222,223,2,0,0,0,0,0,0,0,0,0,0,220,0
[12] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/agriculturalAreaUnit,223,-,-,-,-,-,-,-,-,-,-,-,-,-,223,220,169,213,223,219,220,220,219,223,216,219,223,223,223,156,187,187,0,187,187,22,206,7,31,219,223,223,223,219,220,223,223,219,219,219,219,219,0,0,0,222,222,223,2,0,0,0,0,0,0,0,0,0,0,220,0
[13] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/agriculturalAreaYear,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,169,213,223,219,220,220,219,223,216,219,223,223,223,156,187,187,0,187,187,22,206,7,31,219,223,223,223,219,220,223,223,219,219,219,219,219,0,0,0,222,222,223,2,0,0,0,0,0,0,0,0,0,0,220,0
[14] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/codeAGROVOC,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,171,215,246,249,223,224,223,248,218,219,220,220,220,158,188,188,27,188,188,23,209,10,37,219,220,220,220,221,251,256,255,221,221,221,221,221,6,6,2,254,254,256,2,0,0,0,0,0,0,0,0,0,0,256,0
[15] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/codeCurrency,171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,171,171,171,171,170,171,168,169,169,169,169,126,150,150,0,150,150,12,162,3,26,169,169,169,169,171,171,171,171,171,171,171,171,171,0,0,0,171,171,171,2,0,0,0,0,0,0,0,0,0,0,171,0
[16] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/codeDBPediaID,215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,215,215,215,215,214,215,210,213,213,213,213,156,188,188,0,188,188,17,206,3,30,213,213,213,213,215,215,215,215,215,215,215,215,215,0,0,0,215,215,215,2,0,0,0,0,0,0,0,0,0,0,215,0
[17] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/codeFAOSTAT,266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,262,223,223,222,258,219,219,223,223,223,158,188,188,40,188,188,23,209,13,37,219,223,223,223,221,262,266,265,221,221,221,221,221,11,10,3,264,264,266,2,0,0,0,0,0,0,0,0,0,0,246,0
[18] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/codeFAOTERM,297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,223,222,260,217,219,219,219,219,159,188,188,68,188,188,28,210,19,51,219,219,219,219,221,295,296,295,222,221,221,221,221,30,29,12,295,295,297,2,0,0,0,0,0,0,0,0,0,0,249,0
[19] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/codeGAUL,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,222,223,218,219,220,220,220,158,188,188,0,188,188,23,209,4,32,219,220,220,220,221,222,223,222,221,221,221,221,221,0,0,0,222,222,223,2,0,0,0,0,0,0,0,0,0,0,223,0
[20] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/codeISO2,225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,224,224,218,219,220,220,220,159,188,188,0,188,188,23,210,4,33,219,220,220,220,221,224,225,224,222,221,221,221,221,0,0,0,224,224,225,2,0,0,0,0,0,0,0,0,0,0,224,0
[21] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/codeISO3,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,217,218,219,219,219,158,187,187,0,187,187,23,210,3,33,218,219,219,219,220,223,224,223,221,220,220,220,220,0,0,0,223,223,224,2,0,0,0,0,0,0,0,0,0,0,223,0
[22] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/codeUN,269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219,219,223,223,223,159,188,188,32,188,188,28,210,14,36,219,223,223,223,221,260,269,268,222,221,221,221,221,6,6,3,268,268,269,2,0,0,0,0,0,0,0,0,0,0,248,0
[23] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/codeUNDP,219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,214,216,216,216,157,188,188,0,188,188,19,207,5,32,214,216,216,216,216,217,219,218,216,216,216,216,216,0,0,0,218,218,219,1,0,0,0,0,0,0,0,0,0,0,218,0
[24] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/countryAreaNotes,219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219,219,219,156,187,187,0,187,187,22,206,3,30,219,219,219,219,219,219,219,219,219,219,219,219,219,0,0,0,218,218,219,2,0,0,0,0,0,0,0,0,0,0,219,0
[25] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/countryAreaTotal,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,223,156,187,187,0,187,187,22,206,7,31,219,223,223,223,219,220,223,223,219,219,219,219,219,0,0,0,222,222,223,2,0,0,0,0,0,0,0,0,0,0,220,0
[26] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/countryAreaUnit,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,156,187,187,0,187,187,22,206,7,31,219,223,223,223,219,220,223,223,219,219,219,219,219,0,0,0,222,222,223,2,0,0,0,0,0,0,0,0,0,0,220,0
[27] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/countryAreaYear,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156,187,187,0,187,187,22,206,7,31,219,223,223,223,219,220,223,223,219,219,219,219,219,0,0,0,222,222,223,2,0,0,0,0,0,0,0,0,0,0,220,0
[28] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/hasBorderWith,637,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148,148,0,148,148,2,156,2,31,156,156,156,156,158,159,159,159,159,158,158,158,158,0,0,0,159,159,159,0,0,0,0,0,0,0,0,0,0,0,158,0
[29] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/hasMaxLatitude,188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188,0,188,188,0,187,2,28,187,187,187,187,188,188,188,188,188,188,188,188,188,0,0,0,188,188,188,0,0,0,0,0,0,0,0,0,0,0,188,0
[30] http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/hasMaxLongitude,188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,188,188,0,187,2,28,187,187,187,187,188,188,188,188,188,188,188,188,188,0,0,0,188,188,188,0,0,0,0,0,0,0,0,0,0,0,188,0
