Number of unique subjects: 2,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16]
[0] http://purl.org/dc/terms/creator,1,-,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
[1] http://purl.org/dc/terms/date,1,-,-,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
[2] http://purl.org/dc/terms/description,2,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,0
[3] http://purl.org/dc/terms/format,1,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1
[4] http://purl.org/dc/terms/language,1,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,0
[5] http://purl.org/dc/terms/publisher,2,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,0
[6] http://purl.org/dc/terms/subject,2,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,0
[7] http://purl.org/dc/terms/title,2,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,0
[8] http://rdfs.org/ns/void#dataDump,1,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,0
[9] http://rdfs.org/ns/void#feature,1,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,0
[10] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,0
[11] http://rdfs.org/ns/void#vocabulary,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0
[12] http://www.semantic-web.at/ppcl/availablelanguages,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0
[13] http://www.semantic-web.at/ppcl/numberOfConceptSchemes,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0
[14] http://www.semantic-web.at/ppcl/numberOfConcepts,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0
[15] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[16] http://www.w3.org/2000/01/rdf-schema#label,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
