Number of unique subjects: 716,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]
[0] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,717,-,31,15,24,11,6,5,1,1,671,671,671
[1] http://www.w3.org/2000/01/rdf-schema#comment,31,-,-,13,22,11,6,5,1,1,0,0,0
[2] http://www.w3.org/2000/01/rdf-schema#domain,15,-,-,-,15,10,0,4,0,0,0,0,0
[3] http://www.w3.org/2000/01/rdf-schema#label,24,-,-,-,-,11,6,5,1,1,0,0,0
[4] http://www.w3.org/2000/01/rdf-schema#range,11,-,-,-,-,-,0,2,0,0,0,0,0
[5] http://www.w3.org/2000/01/rdf-schema#subClassOf,6,-,-,-,-,-,-,0,0,0,0,0,0
[6] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,5,-,-,-,-,-,-,-,0,0,0,0,0
[7] http://www.w3.org/2002/07/owl#priorVersion,1,-,-,-,-,-,-,-,-,1,0,0,0
[8] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,0,0,0
[9] http://www.w3.org/2004/02/skos/core#definition,671,-,-,-,-,-,-,-,-,-,-,671,671
[10] http://www.w3.org/2004/02/skos/core#inScheme,671,-,-,-,-,-,-,-,-,-,-,-,671
[11] http://www.w3.org/2004/02/skos/core#prefLabel,671,-,-,-,-,-,-,-,-,-,-,-,-
