Number of unique subjects: 18,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
[0] http://creativecommons.org/ns#License,1,-,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
[1] http://creativecommons.org/ns#attributionName,1,-,-,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
[2] http://creativecommons.org/ns#attributionURL,1,-,-,-,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
[3] http://creativecommons.org/ns#morePermissions,1,-,-,-,-,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
[4] http://purl.org/dc/terms/creator,2,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1
[5] http://purl.org/dc/terms/isPartOf,1,-,-,-,-,-,-,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
[6] http://purl.org/dc/terms/license,1,-,-,-,-,-,-,-,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0
[7] http://purl.org/dc/terms/modified,1,-,-,-,-,-,-,-,-,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
[8] http://purl.org/dc/terms/publisher,1,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
[9] http://purl.org/dc/terms/subject,1,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0
[10] http://purl.org/dc/terms/title,9,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,8,0,1,9,8,1,1
[11] http://rdfs.org/ns/void#dataDump,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,1,1,1,1,1,0,1,1,0,0
[12] http://rdfs.org/ns/void#exampleResource,9,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,1,1,1,0,1,1,0,0
[13] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,1,1,1,0,1,1,0,0
[14] http://rdfs.org/ns/void#subset,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,0,1,1,0,0
[15] http://rdfs.org/ns/void#target,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,8,0,0,8,0,0,0
[16] http://rdfs.org/ns/void#triples,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,1,1,0,0
[17] http://rdfs.org/ns/void#uriRegexPattern,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,1,1,0,0
[18] http://rdfs.org/ns/void#vocabulary,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,0,0
[19] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,17,9,0,0
[20] http://www.w3.org/2000/01/rdf-schema#comment,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0
[21] http://www.w3.org/2000/01/rdf-schema#seeAlso,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1
[22] http://www.w3.org/2007/05/powder-s#describedby,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,1,1
[23] http://xmlns.com/foaf/0.1/homepage,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[24] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[25] http://xmlns.com/foaf/0.1/topic,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
