Number of unique subjects: 12,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
[0] http://purl.org/NET/scovo#dimension,4,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
[1] http://purl.org/dc/terms/created,1,-,-,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0
[2] http://purl.org/dc/terms/creator,1,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
[3] http://purl.org/dc/terms/description,1,-,-,-,-,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0
[4] http://purl.org/dc/terms/issued,1,-,-,-,-,-,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0
[5] http://purl.org/dc/terms/license,1,-,-,-,-,-,-,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0
[6] http://purl.org/dc/terms/modified,1,-,-,-,-,-,-,-,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0
[7] http://purl.org/dc/terms/publisher,7,-,-,-,-,-,-,-,-,1,1,4,4,0,1,1,1,0,1,1,1,4,0,1,4,1,0
[8] http://purl.org/dc/terms/source,1,-,-,-,-,-,-,-,-,-,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0
[9] http://purl.org/dc/terms/subject,2,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0
[10] http://purl.org/dc/terms/title,5,-,-,-,-,-,-,-,-,-,-,-,4,0,1,1,1,0,1,1,1,5,0,1,4,1,1
[11] http://rdfs.org/ns/void#exampleResource,6,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,0,1,1,1,4,0,1,4,1,0
[12] http://rdfs.org/ns/void#linkPredicate,7,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,0,3,0,0,0,3,0,0,0,0,0
[13] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,1,1,0,1,1,1,0
[14] http://rdfs.org/ns/void#statItem,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,1,1,4,0,1,1,1,0
[15] http://rdfs.org/ns/void#subset,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,0,1,1,1,0
[16] http://rdfs.org/ns/void#target,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,3,0,0,0,0,0
[17] http://rdfs.org/ns/void#uriLookupEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,1,1,1,0
[18] http://rdfs.org/ns/void#uriRegexPattern,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,1,0
[19] http://rdfs.org/ns/void#vocabulary,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,1,0
[20] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,4,1,1
[21] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[22] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0
[23] http://xmlns.com/foaf/0.1/homepage,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0
[24] http://xmlns.com/foaf/0.1/page,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[25] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
