Number of unique subjects: 23097,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22]
[0] http://creativecommons.org/ns#attributionName,2,-,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
[1] http://creativecommons.org/ns#attributionURL,2,-,-,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
[2] http://creativecommons.org/ns#license,1,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
[3] http://purl.org/NET/c4dm/event.owl#agent,1974,-,-,-,-,1974,1974,0,0,1974,0,0,0,0,0,1974,0,1974,0,0,0,0,281,0
[4] http://purl.org/NET/c4dm/event.owl#place,2063,-,-,-,-,-,2004,0,0,2003,0,0,0,0,0,2063,0,2063,0,1,1,0,281,0
[5] http://purl.org/NET/c4dm/event.owl#time,2148,-,-,-,-,-,-,0,0,2003,0,0,0,0,0,2148,0,2148,0,1,1,0,281,0
[6] http://purl.org/NET/c4dm/timeline.owl#end,2148,-,-,-,-,-,-,-,2148,0,0,0,0,0,0,2148,0,0,0,0,0,0,0,0
[7] http://purl.org/NET/c4dm/timeline.owl#start,2148,-,-,-,-,-,-,-,-,0,0,0,0,0,0,2148,0,0,0,0,0,0,0,0
[8] http://purl.org/dc/terms/isPartOf,2003,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2003,0,2003,0,0,0,0,281,0
[9] http://purl.org/dc/terms/license,2,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,1,0,0,0,0,1
[10] http://purl.org/prog/describes,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,0,0,0,0,0,0,0
[11] http://purl.org/prog/has_streamed_event,2003,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,0,0,0,0,0,0,0
[12] http://purl.org/prog/has_timeslot,144,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,0,0,0,0
[13] http://purl.org/prog/streamed_by_location,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0
[14] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,23096,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2208,0,1,266,1484,281,0
[15] http://www.w3.org/2000/01/rdf-schema#comment,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,1
[16] http://www.w3.org/2000/01/rdf-schema#label,2208,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,281,0
[17] http://www.w3.org/2000/01/rdf-schema#seeAlso,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1
[18] http://xmlns.com/foaf/0.1/based_near,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0
[19] http://xmlns.com/foaf/0.1/homepage,266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,265,0,0
[20] http://xmlns.com/foaf/0.1/name,1484,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[21] http://xmlns.com/foaf/0.1/page,281,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[22] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
