Number of unique subjects: 9,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29]
[0] http://purl.org/dc/terms/created,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[1] http://purl.org/dc/terms/creator,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[2] http://purl.org/dc/terms/description,5,-,-,-,1,1,1,1,1,5,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,5,1,5,1,5
[3] http://purl.org/dc/terms/issued,1,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[4] http://purl.org/dc/terms/license,1,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[5] http://purl.org/dc/terms/modified,1,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[6] http://purl.org/dc/terms/publisher,1,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[7] http://purl.org/dc/terms/subject,20,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[8] http://purl.org/dc/terms/title,5,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,5,1,5,1,5
[9] http://rdfs.org/ns/void#classes,1,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[10] http://rdfs.org/ns/void#distinctObjects,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[11] http://rdfs.org/ns/void#distinctSubjects,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[12] http://rdfs.org/ns/void#documents,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[13] http://rdfs.org/ns/void#entities,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[14] http://rdfs.org/ns/void#exampleResource,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[15] http://rdfs.org/ns/void#feature,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,1,1,1,1,1,1,1,1,1
[16] http://rdfs.org/ns/void#linkPredicate,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4,4,0,0,0,0,4,0,0,0,0
[17] http://rdfs.org/ns/void#properties,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,1,1,1,1,1,1,1,1
[18] http://rdfs.org/ns/void#subset,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1
[19] http://rdfs.org/ns/void#target,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,0,0,0,4,0,0,0,0
[20] http://rdfs.org/ns/void#triples,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,5,1,1,1,1
[21] http://rdfs.org/ns/void#uriRegexPattern,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1
[22] http://rdfs.org/ns/void#uriSpace,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1
[23] http://rdfs.org/ns/void#vocabulary,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1
[24] http://vocab.org/waiver/terms/normsnorms,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1
[25] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5
[26] http://www.w3.org/2000/01/rdf-schema#label,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
[27] http://xmlns.com/foaf/0.1/homepage,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5
[28] http://xmlns.com/foaf/0.1/mbox,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[29] http://xmlns.com/foaf/0.1/page,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
