Number of unique subjects: 1570,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19]
[0] http://code.google.com/p/ldspider/ns#headerInfo,489,-,0,0,0,0,0,17,0,1,0,17,0,0,0,0,0,0,0,0,0
[1] http://dbpedia.org/property/height,471,-,-,471,471,471,471,0,306,471,379,471,471,0,0,0,0,0,0,0,448
[2] http://dbpedia.org/property/width,471,-,-,-,471,471,471,0,306,471,379,471,471,0,0,0,0,0,0,0,448
[3] http://purl.org/dc/terms/created,471,-,-,-,-,471,471,0,306,471,379,471,471,0,0,0,0,0,0,0,448
[4] http://purl.org/dc/terms/creator,471,-,-,-,-,-,471,0,306,471,379,471,471,0,0,0,0,0,0,0,448
[5] http://purl.org/dc/terms/description,471,-,-,-,-,-,-,0,306,471,379,471,471,0,0,0,0,0,0,0,448
[6] http://purl.org/dc/terms/location,17,-,-,-,-,-,-,-,0,0,0,17,0,0,0,0,0,0,0,0,0
[7] http://purl.org/dc/terms/medium,306,-,-,-,-,-,-,-,-,306,228,306,306,0,0,0,0,0,0,0,299
[8] http://purl.org/dc/terms/relation,32228,-,-,-,-,-,-,-,-,-,379,471,471,0,0,0,0,0,0,0,448
[9] http://purl.org/dc/terms/subject,423,-,-,-,-,-,-,-,-,-,-,379,379,0,0,0,0,0,0,0,356
[10] http://purl.org/dc/terms/title,488,-,-,-,-,-,-,-,-,-,-,-,471,0,0,0,0,0,0,0,448
[11] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1046,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,104,448
[12] http://www.w3.org/2006/http#connection,489,-,-,-,-,-,-,-,-,-,-,-,-,-,489,489,489,489,489,0,0
[13] http://www.w3.org/2006/http#content-length,489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,489,489,489,489,0,0
[14] http://www.w3.org/2006/http#content-type,489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,489,489,489,0,0
[15] http://www.w3.org/2006/http#date,489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,489,489,0,0
[16] http://www.w3.org/2006/http#responseCode,489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,489,0,0
[17] http://www.w3.org/2006/http#server,489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[18] http://xmlns.com/foaf/0.1/name,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[19] http://xmlns.com/foaf/0.1/page,750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
