Number of unique subjects: 5765635,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78]
[0] http://govwild.org/ontology/abbreviation,114,-,56,114,0,1,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,114,0,0,0,0,0,0,15,0,0,0,0,56,0,0,0,0,0,0,0,114,0,0,0,56,0,0,0,0,0,114,0,0,0,0,0,114,114,2
[1] http://govwild.org/ontology/address,827103,-,-,106996,476324,100029,0,60,527,1943,132369,0,0,0,0,0,0,0,476324,0,476324,0,19,475933,0,0,0,631,796,150,70241,83598,1966,1622,8920,159,2757,70241,0,3803,0,184628,153,1044,644,0,0,0,8828,387,14,0,58,8061,926,13,0,836,476324,54,536,731194,476324,0,0,243630,0,476324,448,14,0,731194,0,527,796,0,0,731194,731194,8920
[2] http://govwild.org/ontology/alternateName,280340,-,-,-,0,100029,0,0,0,0,107348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76119,1516,0,4134,189,2144,0,0,0,0,107348,0,0,477,0,0,0,5215,192,0,0,0,875,0,0,0,0,0,0,0,107348,0,0,0,106233,0,0,343,0,0,107348,0,0,0,0,0,107348,107348,4134
[3] http://govwild.org/ontology/amount,1095970,-,-,-,-,0,10496,0,0,0,0,10496,10496,0,0,114636,0,0,1095970,0,1095969,0,0,989888,0,5708,21795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1095970,0,0,1095970,1095331,0,0,0,0,1095970,0,0,10496,1095970,0,0,0,0,0,1095970,1095970,0
[4] http://govwild.org/ontology/annualRevenue,100029,-,-,-,-,-,0,0,0,0,100029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72953,1461,0,3960,1,2067,0,0,0,0,100029,0,0,465,0,0,0,4955,179,0,0,0,790,0,0,0,0,0,0,0,100029,0,0,0,99712,0,0,331,0,0,100029,0,0,0,0,0,100029,100029,3960
[5] http://govwild.org/ontology/beaCategory,10496,-,-,-,-,-,-,0,0,0,0,10496,10496,0,0,0,0,0,10496,0,10496,0,0,10496,0,5708,10496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,10496,0,0,10496,10496,0,0,0,0,10496,0,0,10496,10496,0,0,0,0,0,10496,10496,0
[6] http://govwild.org/ontology/bibliography,2449,-,-,-,-,-,-,-,2449,2447,0,0,0,0,0,0,0,0,0,0,0,0,2185,0,0,0,0,605,2449,87,2449,0,0,1512,1795,0,0,2449,0,1767,0,0,128,756,78,0,0,0,1808,0,0,0,704,0,2441,1354,0,716,0,698,251,2449,0,0,0,60,0,0,0,0,0,2449,0,2449,2449,0,0,2449,2449,1795
[7] http://govwild.org/ontology/biography,13004,-,-,-,-,-,-,-,-,12412,0,0,0,0,0,0,0,0,0,0,0,0,10822,0,0,0,0,2876,13004,211,13004,0,0,9647,10692,0,0,13004,0,9148,0,0,569,3231,210,0,0,0,10730,0,629,0,2160,0,12341,6907,0,4670,0,2066,1031,13004,0,0,0,527,0,0,0,629,0,13004,0,13004,13004,0,0,13004,13004,10692
[8] http://govwild.org/ontology/birthDate,42643,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,10772,0,0,0,0,12047,37478,2186,42641,0,0,33419,39220,0,0,42628,0,19135,0,0,2353,22178,4158,0,0,0,18202,0,111,0,2331,0,28953,6864,0,21412,0,2058,5355,42643,0,0,0,1943,0,0,0,111,0,42643,0,12412,37478,0,0,42643,42643,39220
[9] http://govwild.org/ontology/category,198647,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94959,17688,0,72506,189,19043,0,0,0,0,198647,0,0,1059,0,0,0,6514,4365,0,0,0,7945,0,0,0,0,0,0,0,198647,0,0,0,130975,0,0,2093,0,0,198647,0,0,0,0,0,198647,198647,72506
