Number of unique subjects: 117845,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18]
[0] http://purl.org/goodrelations/v1#availableAtOrFrom,16800,-,16800,0,0,0,0,16800,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://purl.org/goodrelations/v1#includes,16800,-,-,0,0,0,0,16800,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://purl.org/goodrelations/v1#offers,16800,-,-,-,0,0,0,16800,0,16800,0,11414,0,0,0,0,1510,0,14740,9419
[3] http://purl.org/net7/vocab/gracc/v1#accommodationType,16387,-,-,-,-,0,0,16387,0,0,0,0,0,0,0,0,0,0,0,0
[4] http://purl.org/net7/vocab/gracc/v1#facility,59044,-,-,-,-,-,3315,14611,0,14271,14133,0,14611,0,0,0,0,0,0,0
[5] http://purl.org/net7/vocab/gracc/v1#stars,3837,-,-,-,-,-,-,3837,0,3837,3380,0,3837,0,0,0,0,0,0,0
[6] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,106942,-,-,-,-,-,-,-,25784,47156,14912,11414,16800,0,9868,0,1510,13958,14740,9419
[7] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,25784,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0
[8] http://www.w3.org/2000/01/rdf-schema#label,47503,-,-,-,-,-,-,-,-,-,14912,11414,16398,0,9868,0,1510,13958,14740,9419
[9] http://www.w3.org/2006/vcard/ns#adr,14912,-,-,-,-,-,-,-,-,-,-,0,14912,0,0,0,0,0,0,0
[10] http://www.w3.org/2006/vcard/ns#email,11414,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1336,0,11336,9219
[11] http://www.w3.org/2006/vcard/ns#geo,16800,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
[12] http://www.w3.org/2006/vcard/ns#latitude,10575,-,-,-,-,-,-,-,-,-,-,-,-,-,0,10575,0,0,0,0
[13] http://www.w3.org/2006/vcard/ns#locality,9868,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,9868,0,0
[14] http://www.w3.org/2006/vcard/ns#longitude,10575,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[15] http://www.w3.org/2006/vcard/ns#photo,1510,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1503,1195
[16] http://www.w3.org/2006/vcard/ns#street-address,13958,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[17] http://www.w3.org/2006/vcard/ns#tel,25784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9368
[18] http://www.w3.org/2006/vcard/ns#url,9419,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
