Number of unique subjects: 1895168,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29]
[0] http://iflastandards.info/ns/isbd/elements/P1004,1855512,-,611449,132785,1552308,1492860,1823237,26440,78152,166514,1593760,1847886,1823237,1593780,1492860,75604,1847886,24232,132785,508284,0,0,0,0,0,0,0,0,1847886,147040,1847886
[1] http://iflastandards.info/ns/isbd/elements/P1006,612835,-,-,62620,597417,573437,605093,14908,43357,81466,499648,611469,605093,499654,573437,51092,611449,6685,62620,128193,0,0,0,0,0,0,0,0,611469,81346,611469
[2] http://iflastandards.info/ns/isbd/elements/P1008,143965,-,-,-,138806,136694,138672,10032,23569,42713,113127,139959,138672,113129,136694,25105,132785,1576,139959,35122,0,0,0,0,0,0,0,0,139959,42616,139959
[3] http://iflastandards.info/ns/isbd/elements/P1016,1586679,-,-,-,-,1513059,1550188,27313,82451,149197,1340442,1574144,1550188,1340462,1513059,75031,1552308,23706,138806,261934,0,0,0,0,0,0,0,0,1574144,141820,1574144
[4] http://iflastandards.info/ns/isbd/elements/P1017,1517024,-,-,-,-,-,1491795,26944,78885,143585,1285024,1513076,1491795,1285027,1513076,73295,1492860,19218,136694,234358,0,0,0,0,0,0,0,0,1513076,141200,1513076
[5] http://iflastandards.info/ns/isbd/elements/P1018,1845906,-,-,-,-,-,-,26670,79792,169501,1592665,1845906,1845906,1592685,1491795,72987,1823237,21311,138672,506127,0,0,0,0,0,0,0,0,1845906,148076,1845906
[6] http://purl.org/dc/terms/alternative,28077,-,-,-,-,-,-,-,11007,17996,19963,27475,26670,19966,26944,7724,26440,159,10032,7145,0,0,0,0,0,0,0,0,27475,18324,27475
[7] http://purl.org/dc/terms/contributor,123566,-,-,-,-,-,-,-,-,18362,73186,83944,79792,73191,78885,26417,78152,2066,23569,23684,0,0,0,0,0,0,0,0,83944,39164,83944
[8] http://purl.org/dc/terms/creator,188717,-,-,-,-,-,-,-,-,-,134477,174398,169501,134485,143585,39842,166514,3686,42713,61230,0,0,0,0,0,0,0,0,174398,87402,174398
[9] http://purl.org/dc/terms/format,1614482,-,-,-,-,-,-,-,-,-,-,1614482,1592665,1614482,1285024,63793,1593760,15137,113127,441087,0,0,0,0,0,0,0,0,1614482,104598,1614482
[10] http://purl.org/dc/terms/identifier,1870582,-,-,-,-,-,-,-,-,-,-,-,1845906,1614502,1513076,75687,1847886,24586,139959,508414,0,0,0,0,0,0,0,0,1870582,152703,1870582
[11] http://purl.org/dc/terms/issued,1845906,-,-,-,-,-,-,-,-,-,-,-,-,1592685,1491795,72987,1823237,21311,138672,506127,0,0,0,0,0,0,0,0,1845906,148076,1845906
[12] http://purl.org/dc/terms/medium,1614502,-,-,-,-,-,-,-,-,-,-,-,-,-,1285027,63793,1593780,15139,113129,441102,0,0,0,0,0,0,0,0,1614502,104598,1614502
[13] http://purl.org/dc/terms/publisher,1517024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73295,1492860,19218,136694,234358,0,0,0,0,0,0,0,0,1513076,141200,1513076
[14] http://purl.org/dc/terms/subject,203950,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75604,2358,25105,21923,0,0,0,0,0,0,0,0,75687,51349,75687
[15] http://purl.org/dc/terms/title,1855512,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24232,132785,508284,0,0,0,0,0,0,0,0,1847886,147040,1847886
[16] http://purl.org/ontology/bibo/authorlist,24586,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1576,5781,0,0,0,0,0,0,0,0,24586,7171,24586
[17] http://purl.org/ontology/bibo/edition,143965,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35122,0,0,0,0,0,0,0,0,139959,42616,139959
[18] http://purl.org/ontology/bibo/oclcnum,524791,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,508414,26915,508414
[19] http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,24586,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,57,17,9,5,4,3,24586,0,0
[20] http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,17,9,5,4,3,210,0,0
[21] http://www.w3.org/1999/02/22-rdf-syntax-ns#_3,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,9,5,4,3,57,0,0
[22] http://www.w3.org/1999/02/22-rdf-syntax-ns#_4,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,5,4,3,17,0,0
[23] http://www.w3.org/1999/02/22-rdf-syntax-ns#_5,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,3,9,0,0
[24] http://www.w3.org/1999/02/22-rdf-syntax-ns#_6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,5,0,0
[25] http://www.w3.org/1999/02/22-rdf-syntax-ns#_7,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,0,0
[26] http://www.w3.org/1999/02/22-rdf-syntax-ns#_8,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0
[27] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,5236208,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152703,1870582
[28] http://www.w3.org/2002/07/owl#sameAs,152703,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152703
[29] http://www.w3.org/2007/05/powder-s#describedby,1870582,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
