Number of unique subjects: 323,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27]
[0] http://reference.data.gov.uk/def/intervals/hasXsdDurationDescription,9,-,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
[1] http://reference.data.gov.uk/def/intervals/ordinalDayOfWeek,7,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,100,-,-,-,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[3] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,100,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[4] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,216,-,-,-,-,-,71,27,71,34,38,9,61,9,18,1,5,5,98,1,22,1,60,1,1,1,3,1,1
[5] http://www.w3.org/2000/01/rdf-schema#comment,71,-,-,-,-,-,-,16,71,17,33,0,0,0,0,0,0,0,0,1,0,0,60,1,1,1,3,1,1
[6] http://www.w3.org/2000/01/rdf-schema#domain,27,-,-,-,-,-,-,-,16,26,0,9,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
[7] http://www.w3.org/2000/01/rdf-schema#label,71,-,-,-,-,-,-,-,-,17,33,0,0,0,0,0,0,0,0,1,0,0,60,1,1,1,3,1,1
[8] http://www.w3.org/2000/01/rdf-schema#range,34,-,-,-,-,-,-,-,-,-,0,8,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
[9] http://www.w3.org/2000/01/rdf-schema#subClassOf,152,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0,0
[10] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,9,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[11] http://www.w3.org/2002/07/owl#allValuesFrom,61,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
[12] http://www.w3.org/2002/07/owl#cardinality,9,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
[13] http://www.w3.org/2002/07/owl#hasValue,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,18,0,0,0,0,0,0,0,0,0,0
[14] http://www.w3.org/2002/07/owl#imports,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,0,0,0,0
[15] http://www.w3.org/2002/07/owl#maxCardinality,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,0,0,0,0,0,0,0,0,0,0
[16] http://www.w3.org/2002/07/owl#minCardinality,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0,0,0,0,0,0,0,0,0,0
[17] http://www.w3.org/2002/07/owl#onProperty,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0
[18] http://www.w3.org/2002/07/owl#oneOf,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0,0,0
[19] http://www.w3.org/2002/07/owl#unionOf,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0
[20] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
[21] http://www.w3.org/2004/02/skos/core#prefLabel,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
[22] http://www.w3.org/2006/time#days,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[23] http://www.w3.org/2006/time#hours,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[24] http://www.w3.org/2006/time#minutes,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[25] http://www.w3.org/2006/time#months,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[26] http://www.w3.org/2006/time#seconds,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[27] http://www.w3.org/2006/time#years,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
