Number of unique subjects: 103310,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18]
[0] http://purl.org/net7/vocab/scuole/v1#appartieneAIstituto,56082,-,56082,4759,56082,6340,0,56082,11154,56081,0,53767,16342,32395,0,0,0,0,51536,34426
[1] http://purl.org/net7/vocab/scuole/v1#codiceMeccanografico,56082,-,-,4759,56082,6340,0,56082,11154,56081,0,53767,16342,32395,0,0,0,0,51536,34426
[2] http://purl.org/net7/vocab/scuole/v1#indirizziStudio,4759,-,-,-,4759,4759,0,4759,2379,4759,0,4651,1838,4129,0,0,0,0,4587,4506
[3] http://purl.org/net7/vocab/scuole/v1#tipoDiScuola,68460,-,-,-,-,6340,0,56082,11154,56081,0,53767,16342,32395,0,0,0,0,51536,34426
[4] http://purl.org/net7/vocab/scuole/v1#tipoDiScuolaIIGrado,6340,-,-,-,-,-,0,6340,2649,6340,0,6032,2072,4975,0,0,0,0,5760,5597
[5] http://www.geonames.org/ontology#parentADM2,6895,-,-,-,-,-,-,6891,0,6891,0,0,0,0,0,0,0,0,0,0
[6] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,103259,-,-,-,-,-,-,-,11216,62992,19,53767,16342,32395,40204,39782,40204,40198,51536,34426
[7] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,11216,-,-,-,-,-,-,-,-,11153,0,11115,10517,10051,0,0,0,0,10989,3529
[8] http://www.w3.org/2000/01/rdf-schema#label,63335,-,-,-,-,-,-,-,-,-,19,53766,16341,32395,0,0,0,0,51535,34425
[9] http://www.w3.org/2004/02/skos/core#exactMatchexactMatch,19,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
[10] http://www.w3.org/2006/vcard/ns#adr,53767,-,-,-,-,-,-,-,-,-,-,-,16286,32168,0,0,0,0,50523,32811
[11] http://www.w3.org/2006/vcard/ns#email,16342,-,-,-,-,-,-,-,-,-,-,-,-,14971,0,0,0,0,16150,3220
[12] http://www.w3.org/2006/vcard/ns#fax,32395,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,32248,17099
[13] http://www.w3.org/2006/vcard/ns#locality,40204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39782,40204,40198,0,0
[14] http://www.w3.org/2006/vcard/ns#postal-code,40209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39782,39776,0,0
[15] http://www.w3.org/2006/vcard/ns#region,40204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40198,0,0
[16] http://www.w3.org/2006/vcard/ns#street-address,40485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[17] http://www.w3.org/2006/vcard/ns#tel,51536,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31553
[18] http://www.w3.org/2006/vcard/ns#url,34426,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
