Number of unique subjects: 777,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30]
[0] http://open.vocab.org/terms/recordedAddress,623,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,144,621,0,142
[1] http://prismstandard.org/namespaces/1.2/basic/copyright,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
[2] http://prismstandard.org/namespaces/1.2/basic/eissn,113,-,-,-,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,0,0,0,0,0
[3] http://prismstandard.org/namespaces/1.2/basic/endingpage,113,-,-,-,-,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,0,0,0,0,0
[4] http://prismstandard.org/namespaces/1.2/basic/issn,113,-,-,-,-,-,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,0,0,0,0,0
[5] http://prismstandard.org/namespaces/1.2/basic/number,113,-,-,-,-,-,-,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,0,0,0,0,0
[6] http://prismstandard.org/namespaces/1.2/basic/publicationdate,113,-,-,-,-,-,-,-,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,0,0,0,0,0
[7] http://prismstandard.org/namespaces/1.2/basic/publicationname,113,-,-,-,-,-,-,-,-,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,0,0,0,0,0
[8] http://prismstandard.org/namespaces/1.2/basic/rightsagent,113,-,-,-,-,-,-,-,-,-,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,0,0,0,0,0
[9] http://prismstandard.org/namespaces/1.2/basic/section,113,-,-,-,-,-,-,-,-,-,-,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,0,0,0,0,0
[10] http://prismstandard.org/namespaces/1.2/basic/startingpage,113,-,-,-,-,-,-,-,-,-,-,-,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,0,0,0,0,0
[11] http://prismstandard.org/namespaces/1.2/basic/volume,113,-,-,-,-,-,-,-,-,-,-,-,-,2,113,113,113,113,113,113,113,113,113,113,113,113,113,0,0,0,0,0
[12] http://purl.org/dc/elements/1.1/copyright,8,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0
[13] http://purl.org/dc/elements/1.1/date,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,150,150,150,150,150,150,150,0,0,0,0,0
[14] http://purl.org/dc/elements/1.1/description,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,150,150,150,150,150,150,0,0,0,0,0
[15] http://purl.org/dc/elements/1.1/identifier,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,150,150,150,150,150,0,0,0,0,0
[16] http://purl.org/dc/elements/1.1/language,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,150,150,150,150,0,0,0,0,0
[17] http://purl.org/dc/elements/1.1/link,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,150,150,150,0,0,0,0,0
[18] http://purl.org/dc/elements/1.1/publisher,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,150,150,0,0,0,0,0
[19] http://purl.org/dc/elements/1.1/rights,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,150,0,0,0,0,0
[20] http://purl.org/dc/elements/1.1/source,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,0,0,0,0,0
[21] http://purl.org/dc/elements/1.1/subject,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,0,0,0,0,0
[22] http://purl.org/dc/elements/1.1/title,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,0,0,0,0,0
[23] http://purl.org/dc/elements/1.1/type,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,0,0,0,0,0
[24] http://purl.org/dc/terms/abstract,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,0,0,0,0,0
[25] http://purl.org/dc/terms/creator,627,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[26] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,627,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,621,6,148
[27] http://xmlns.com/foaf/0.1/mbox,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,6,148
[28] http://xmlns.com/foaf/0.1/name,621,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,142
[29] http://xmlns.com/foaf/0.1/nick,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
[30] http://xmlns.com/foaf/0.1/phone,296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
