Number of unique subjects: 335925,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
[0] http://purl.org/NET/c4dm/event.owl#factor,8823,-,0,0,0,0,0,0,0,0,0,0,8823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://purl.org/NET/c4dm/timeline.owl#onTimeLine,45634,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45634,0,0,0,0,0,0,0
[2] http://purl.org/dc/elements/1.1/date,5786,-,-,-,880,0,5768,5786,0,5786,0,0,0,0,0,5785,0,0,5341,5786,166,0,0,0,0,5786,0
[3] http://purl.org/dc/elements/1.1/description,880,-,-,-,-,0,880,880,0,880,0,0,0,0,0,880,0,0,819,880,59,0,0,0,0,880,0
[4] http://purl.org/dc/elements/1.1/format,125948,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,125948,0,0,0,0,0,0,0
[5] http://purl.org/dc/elements/1.1/title,51402,-,-,-,-,-,-,51402,0,5768,45634,0,0,0,0,5767,45634,0,5329,51402,1517,0,0,0,0,5768,0
[6] http://purl.org/ontology/mo/available_as,125948,-,-,-,-,-,-,-,0,5786,45634,0,0,0,0,5785,45634,0,5341,51420,1517,0,0,0,0,5786,0
[7] http://purl.org/ontology/mo/biography,485,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,485,37,429,465,451,485,0,485
[8] http://purl.org/ontology/mo/image,23144,-,-,-,-,-,-,-,-,-,0,0,0,0,0,5785,0,0,5341,5786,166,0,0,0,0,5786,0
[9] http://purl.org/ontology/mo/license,45634,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,45634,0,0,45634,1351,0,0,0,0,0,0
[10] http://purl.org/ontology/mo/published_as,45634,-,-,-,-,-,-,-,-,-,-,-,0,0,45634,0,0,0,0,45634,0,0,0,0,0,0,0
[11] http://purl.org/ontology/mo/recorded_as,45634,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[12] http://purl.org/ontology/mo/text,8823,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,8823,0,0,0,0,0,0,0
[13] http://purl.org/ontology/mo/time,45634,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,45634,0,0,0,0,0,0,0
[14] http://purl.org/ontology/mo/track,45634,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,5340,5785,166,0,0,0,0,5785,0
[15] http://purl.org/ontology/mo/track_number,45634,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,45634,1351,0,0,0,0,0,0
[16] http://www.holygoat.co.uk/owl/redwood/0.1/tags/tagName,9235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,9235,0,0,0,0,0,0,0
[17] http://www.holygoat.co.uk/owl/redwood/0.1/tags/taggedWithTag,53438,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5341,165,0,0,0,0,5341,0
[18] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,290291,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1636,3244,3006,2982,3505,5786,3505
[19] http://www.w3.org/2002/07/owl#sameAs,1697,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,118,107,119,166,119
[20] http://xmlns.com/foaf/0.1/based_near,3244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2934,2890,3244,0,3244
[21] http://xmlns.com/foaf/0.1/homepage,3006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2729,3006,0,3006
[22] http://xmlns.com/foaf/0.1/img,2982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2982,0,2982
[23] http://xmlns.com/foaf/0.1/made,5786,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3505
[24] http://xmlns.com/foaf/0.1/maker,5786,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[25] http://xmlns.com/foaf/0.1/name,3505,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
