Number of unique subjects: 36,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
[0] http://purl.org/dc/terms/contributor,3,-,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[1] http://purl.org/dc/terms/creator,2,-,-,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[2] http://purl.org/dc/terms/description,1,-,-,-,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[3] http://purl.org/dc/terms/title,1,-,-,-,-,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[4] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,2,-,-,-,-,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[5] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,2,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[6] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,70,-,-,-,-,-,-,-,9,5,32,32,6,1,1,21,2,8,1,32,2,11
[7] http://www.w3.org/2000/01/rdf-schema#comment,13,-,-,-,-,-,-,-,-,1,9,9,1,0,0,8,0,2,0,9,1,2
[8] http://www.w3.org/2000/01/rdf-schema#domain,5,-,-,-,-,-,-,-,-,-,5,5,5,0,0,1,0,2,0,5,0,1
[9] http://www.w3.org/2000/01/rdf-schema#isDefinedBy,32,-,-,-,-,-,-,-,-,-,-,32,6,0,1,21,2,8,0,32,2,11
[10] http://www.w3.org/2000/01/rdf-schema#label,32,-,-,-,-,-,-,-,-,-,-,-,6,0,1,21,2,8,0,32,2,11
[11] http://www.w3.org/2000/01/rdf-schema#range,6,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,2,0,6,0,2
[12] http://www.w3.org/2000/01/rdf-schema#seeAlso,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0
[13] http://www.w3.org/2000/01/rdf-schema#subClassOf,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,0,1
[14] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7,0,21,1,4
[15] http://www.w3.org/2002/07/owl#disjointWith,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,1,2
[16] http://www.w3.org/2002/07/owl#inverseOf,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,8,0,4
[17] http://www.w3.org/2002/07/owl#unionOf,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[18] http://www.w3.org/2004/02/skos/core#definition,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,11
[19] http://www.w3.org/2004/02/skos/core#example,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[20] http://www.w3.org/2004/02/skos/core#scopeNote,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
