Number of unique subjects: 1278,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39]
[0] http://bio2rdf.org/arrayexpress:/comments/ArrayExpressAccession,1,-,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[1] http://bio2rdf.org/arrayexpress:/comments/ArrayExpress_FTP_file,72,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,0,0,0,0,72,0,72,0,0,0,0,0,0,0,0,0,0,72,0,72,72,72,0
[2] http://bio2rdf.org/arrayexpress:/comments/Derived_ArrayExpress_FTP_file,2,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
[3] http://bio2rdf.org/arrayexpress:/comments/Submitted_Name,1,-,-,-,-,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[4] http://mged.sourceforge.net/ontologies/MGEDOntology.owl#has_experiment_factors,73,-,-,-,-,-,72,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[5] http://mged.sourceforge.net/ontologies/MGEDOntology.owl#has_factor_value,144,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,72,72,0,0,0,0,144,0,72,0,0,0,0,0,0,0,0,0,0,72,0,72,72,72,0
[6] http://purl.obolibrary.org/obo/IAO_0000142,1,-,-,-,-,-,-,-,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[7] http://purl.obolibrary.org/obo/OBI_0000298,420,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,60,60,0,0,0,0,60,0,60,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,0
[8] http://purl.obolibrary.org/obo/OBI_0000308,11,-,-,-,-,-,-,-,-,-,0,0,0,0,0,11,10,10,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[9] http://purl.obolibrary.org/obo/OBI_0000316,1,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1
