Number of unique subjects: 6,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14]
[0] http://purl.org/dc/terms/description,3,-,1,1,1,1,3,1,3,0,0,1,0,1,3,3
[1] http://purl.org/dc/terms/issued,1,-,-,1,1,1,1,1,1,0,0,1,0,1,1,1
[2] http://purl.org/dc/terms/modified,2,-,-,-,1,1,1,1,1,0,0,1,0,1,1,1
[3] http://purl.org/dc/terms/publisher,1,-,-,-,-,1,1,1,1,0,0,1,0,1,1,1
[4] http://purl.org/dc/terms/subject,1,-,-,-,-,-,1,1,1,0,0,1,0,1,1,1
[5] http://purl.org/dc/terms/title,3,-,-,-,-,-,-,1,3,0,0,1,0,1,3,3
[6] http://purl.org/openorg/corrections,1,-,-,-,-,-,-,-,1,0,0,1,0,1,1,1
[7] http://rdfs.org/ns/void#exampleResource,3,-,-,-,-,-,-,-,-,0,0,1,0,1,3,3
[8] http://rdfs.org/ns/void#linkPredicate,2,-,-,-,-,-,-,-,-,-,2,0,2,0,2,0
[9] http://rdfs.org/ns/void#objectsTarget,2,-,-,-,-,-,-,-,-,-,-,0,2,0,2,0
[10] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1
[11] http://rdfs.org/ns/void#subjectsTarget,2,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0
[12] http://rdfs.org/ns/void#vocabulary,12,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[13] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
[14] http://xmlns.com/foaf/0.1/homepage,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
