Number of unique subjects: 9,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19]
[0] http://purl.org/dc/terms/conformsTo,1,-,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
[1] http://purl.org/dc/terms/description,3,-,-,1,1,1,1,1,1,3,1,1,3,0,0,1,0,1,1,3,3
[2] http://purl.org/dc/terms/hasPart,5,-,-,-,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
[3] http://purl.org/dc/terms/issued,1,-,-,-,-,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
[4] http://purl.org/dc/terms/license,1,-,-,-,-,-,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
[5] http://purl.org/dc/terms/modified,2,-,-,-,-,-,-,1,1,1,1,1,1,0,0,1,0,1,1,1,1
[6] http://purl.org/dc/terms/publisher,1,-,-,-,-,-,-,-,1,1,1,1,1,0,0,1,0,1,1,1,1
[7] http://purl.org/dc/terms/subject,1,-,-,-,-,-,-,-,-,1,1,1,1,0,0,1,0,1,1,1,1
[8] http://purl.org/dc/terms/title,4,-,-,-,-,-,-,-,-,-,1,1,4,0,0,1,0,1,1,4,4
[9] http://purl.org/openorg/corrections,1,-,-,-,-,-,-,-,-,-,-,1,1,0,0,1,0,1,1,1,1
[10] http://rdfs.org/ns/void#dataDump,1,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,0,1,1,1,1
[11] http://rdfs.org/ns/void#exampleResource,7,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,1,1,4,4
[12] http://rdfs.org/ns/void#linkPredicate,5,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,4,0,0,4,0
[13] http://rdfs.org/ns/void#objectsTarget,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,0,0,4,0
[14] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1
[15] http://rdfs.org/ns/void#subjectsTarget,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4,0
[16] http://rdfs.org/ns/void#vocabulary,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
[17] http://vocab.org/waive/terms/norms,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[18] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
[19] http://xmlns.com/foaf/0.1/homepage,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
