Number of unique subjects: 32,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15]
[0] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,8,-,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,8,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,24,-,-,-,2,11,2,1,2,2,1,2,3,1,1,1,1
[3] http://www.w3.org/2000/01/rdf-schema#domain,2,-,-,-,-,2,2,0,0,0,0,0,0,0,0,0,0
[4] http://www.w3.org/2000/01/rdf-schema#label,11,-,-,-,-,-,2,1,2,0,1,2,0,1,0,1,1
[5] http://www.w3.org/2000/01/rdf-schema#range,2,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0
[6] http://www.w3.org/2000/01/rdf-schema#subClassOf,1,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0
[7] http://www.w3.org/2002/07/owl#disjointWith,2,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0,0
[8] http://www.w3.org/2002/07/owl#hasValue,2,-,-,-,-,-,-,-,-,-,0,0,2,0,0,0,0
[9] http://www.w3.org/2002/07/owl#imports,1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1
[10] http://www.w3.org/2002/07/owl#intersectionOf,2,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0
[11] http://www.w3.org/2002/07/owl#onProperty,3,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0
[12] http://www.w3.org/2002/07/owl#oneOf,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[13] http://www.w3.org/2002/07/owl#someValuesFrom,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[14] http://www.w3.org/2002/07/owl#unionOf,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[15] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
