Number of unique subjects: 1135,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13]
[0] http://es.dbpedia.org/page/country,111,-,105,74,105,18,16,9,27,3,3,5,18,111,111
[1] http://es.dbpedia.org/page/year,121,-,-,82,121,20,18,10,35,4,3,6,20,121,121
[2] http://www.example.org/Person/actedOn,1460,-,-,-,82,16,13,6,34,2,2,7,13,680,680
[3] http://www.example.org/Person/birthDate,121,-,-,-,-,20,18,10,35,4,3,6,20,121,121
[4] http://www.example.org/Person/deathDate,22,-,-,-,-,-,1,0,6,1,0,0,2,22,22
[5] http://www.example.org/Person/directedOn,120,-,-,-,-,-,-,10,8,8,3,11,42,67,67
[6] http://www.example.org/Person/filmedOn,36,-,-,-,-,-,-,-,1,12,1,2,8,27,27
[7] http://www.example.org/Person/photo,43,-,-,-,-,-,-,-,-,0,1,1,9,43,43
[8] http://www.example.org/Person/photographedOn,63,-,-,-,-,-,-,-,-,-,0,5,6,43,43
[9] http://www.example.org/Person/playedOn,19,-,-,-,-,-,-,-,-,-,-,1,3,18,18
[10] http://www.example.org/Person/producedOn,84,-,-,-,-,-,-,-,-,-,-,-,18,57,57
[11] http://www.example.org/Person/wroteOn,164,-,-,-,-,-,-,-,-,-,-,-,-,76,76
[12] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1135,-,-,-,-,-,-,-,-,-,-,-,-,-,1135
[13] http://xmlns.com/foaf/0.1/name,1135,-,-,-,-,-,-,-,-,-,-,-,-,-,-
