Number of unique subjects: 8,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17]
[0] http://purl.org/NET/scovo#dimension,4,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
[1] http://purl.org/dc/terms/description,1,-,-,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1
[2] http://purl.org/dc/terms/license,1,-,-,-,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1
[3] http://purl.org/dc/terms/publisher,1,-,-,-,-,1,1,1,1,1,0,0,1,1,0,1,1,0,1
[4] http://purl.org/dc/terms/source,1,-,-,-,-,-,1,1,1,1,0,0,1,1,0,1,1,0,1
[5] http://purl.org/dc/terms/subject,5,-,-,-,-,-,-,1,1,1,0,0,1,1,0,1,1,0,1
[6] http://purl.org/dc/terms/title,1,-,-,-,-,-,-,-,1,1,0,0,1,1,0,1,1,0,1
[7] http://rdfs.org/ns/void#dataDump,4,-,-,-,-,-,-,-,-,1,3,3,1,4,3,1,4,0,1
[8] http://rdfs.org/ns/void#exampleResource,8,-,-,-,-,-,-,-,-,-,0,0,1,1,0,1,1,0,1
[9] http://rdfs.org/ns/void#linkPredicate,5,-,-,-,-,-,-,-,-,-,-,3,0,3,3,0,3,0,0
[10] http://rdfs.org/ns/void#objectsTarget,3,-,-,-,-,-,-,-,-,-,-,-,0,3,3,0,3,0,0
[11] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,0,1
[12] http://rdfs.org/ns/void#statItem,4,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,4,0,1
[13] http://rdfs.org/ns/void#subjectsTarget,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,0,0
[14] http://rdfs.org/ns/void#vocabulary,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1
[15] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1
[16] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[17] http://xmlns.com/foaf/0.1/homepage,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
