Number of unique subjects: 71347,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
[0] http://RDVocab.info/ElementsGr2/corporateHistory,2,-,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
[1] http://RDVocab.info/ElementsGr2/dateOfEstablishment,3,-,-,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
[2] http://RDVocab.info/ElementsGr2/dateOfTermination,1,-,-,-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[3] http://ndl.go.jp/dcndl/terms/transcription,69650,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34825,0,0,0
[4] http://purl.org/dc/terms/created,19301,-,-,-,-,-,0,19301,18231,0,19301,39,18249,12780,5285,6084,1546,19301,4605,6074,10585,18931,15977,0,19301,0,3
[5] http://purl.org/dc/terms/description,9673,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9673,0,0,0
[6] http://purl.org/dc/terms/modified,19301,-,-,-,-,-,-,-,18231,0,19301,39,18249,12780,5285,6084,1546,19301,4605,6074,10585,18931,15977,0,19301,0,3
[7] http://purl.org/dc/terms/source,29975,-,-,-,-,-,-,-,-,0,18231,32,17502,12361,5146,5941,1491,18231,4537,5107,10487,18052,15307,0,18231,0,3
[8] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
[9] http://www.w3.org/2000/01/rdf-schema#label,19301,-,-,-,-,-,-,-,-,-,-,39,18249,12780,5285,6084,1546,19301,4605,6074,10585,18931,15977,0,19301,0,3
[10] http://www.w3.org/2000/01/rdf-schema#seeAlso,80,-,-,-,-,-,-,-,-,-,-,-,39,23,6,6,0,39,4,11,11,36,22,0,39,0,0
[11] http://www.w3.org/2002/07/owl#sameAs,18249,-,-,-,-,-,-,-,-,-,-,-,-,12619,5250,5506,1470,18249,4540,5507,10579,18246,15370,0,18249,0,0
[12] http://www.w3.org/2004/02/skos/core#broader,14815,-,-,-,-,-,-,-,-,-,-,-,-,-,3720,3916,1004,12780,3079,3712,6874,12780,10833,0,12780,0,0
[13] http://www.w3.org/2004/02/skos/core#closeMatch,5940,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1616,656,5285,1648,1533,3073,5285,5285,0,5285,0,0
[14] http://www.w3.org/2004/02/skos/core#exactMatch,6269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,6084,2318,1980,4023,5895,5175,0,6084,0,0
[15] http://www.w3.org/2004/02/skos/core#historyNote,1546,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1546,284,373,638,1526,1490,0,1546,0,1
[16] http://www.w3.org/2004/02/skos/core#inScheme,19301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4605,6074,10585,18931,15977,0,19301,0,3
[17] http://www.w3.org/2004/02/skos/core#narrower,14874,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1710,3281,4605,4098,0,4605,0,0
[18] http://www.w3.org/2004/02/skos/core#note,8062,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3300,5710,4785,0,6074,0,0
[19] http://www.w3.org/2004/02/skos/core#related,20975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10585,8995,0,10585,0,0
[20] http://www.w3.org/2004/02/skos/core#relatedMatch,52398,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15974,0,18931,0,0
[21] http://www.w3.org/2008/05/skos-xl#altLabel,32742,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,15977,0,3
[22] http://www.w3.org/2008/05/skos-xl#literalForm,52043,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[23] http://www.w3.org/2008/05/skos-xl#prefLabel,19301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3
[24] http://xmlns.com/foaf/0.1/name,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[25] http://xmlns.com/foaf/0.1/primaryTopic,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
