Number of unique subjects: 12,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27]
[0] http://purl.org/dc/terms/description,7,-,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,0,1,1,1,0,1,1,1,1,6,6,1
[1] http://purl.org/dc/terms/publisher,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
[2] http://purl.org/dc/terms/subject,4,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
[3] http://purl.org/dc/terms/title,8,-,-,-,-,1,1,1,1,1,2,2,2,2,2,6,2,0,2,1,1,0,2,2,2,1,7,6,1
[4] http://purl.org/pav/2.0/accessedBy,1,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
[5] http://purl.org/pav/2.0/accessedOn,1,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
[6] http://purl.org/pav/2.0/createdBy,1,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
[7] http://purl.org/pav/2.0/createdOn,1,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
[8] http://purl.org/pav/2.0/license,1,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
[9] http://rdfs.org/ns/void#classes,2,-,-,-,-,-,-,-,-,-,-,2,2,2,2,1,2,0,2,1,1,0,2,2,2,1,2,1,1
[10] http://rdfs.org/ns/void#dataDump,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2,1,2,0,2,1,1,0,2,2,2,1,2,1,1
[11] http://rdfs.org/ns/void#distinctObjects,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,0,2,1,1,0,2,2,2,1,2,1,1
[12] http://rdfs.org/ns/void#distinctSubjects,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,0,2,1,1,0,2,2,2,1,2,1,1
[13] http://rdfs.org/ns/void#entities,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,2,1,1,0,2,2,2,1,2,1,1
[14] http://rdfs.org/ns/void#exampleResource,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,1,0,1,1,1,1,6,6,1
[15] http://rdfs.org/ns/void#feature,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,1,1,0,2,2,2,1,2,1,1
[16] http://rdfs.org/ns/void#linkPredicate,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,5,5,0,0,0,5,0,0
[17] http://rdfs.org/ns/void#properties,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,2,2,2,1,2,1,1
[18] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,1,1,1,1,1
[19] http://rdfs.org/ns/void#subset,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1
[20] http://rdfs.org/ns/void#target,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0,0,0,5,0,0
[21] http://rdfs.org/ns/void#triples,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,7,1,1
[22] http://rdfs.org/ns/void#uriRegexPattern,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,1,1
[23] http://rdfs.org/ns/void#uriSpace,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1
[24] http://rdfs.org/ns/void#vocabulary,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
[25] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1
[26] http://xmlns.com/foaf/0.1/homepage,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[27] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
