Number of unique subjects: 3993,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14]
[0] http://purl.org/dc/terms/created,1,-,0,0,0,1,1,1,1,1,1,1,1,0,0,1
[1] http://purl.org/dc/terms/description,1,-,-,0,1,0,0,1,0,0,0,0,1,0,0,0
[2] http://purl.org/dc/terms/format,1,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0
[3] http://purl.org/dc/terms/license,1,-,-,-,-,0,0,1,0,0,0,0,1,0,0,0
[4] http://purl.org/dc/terms/publisher,1,-,-,-,-,-,1,1,1,1,1,1,1,0,0,1
[5] http://purl.org/dc/terms/subject,3,-,-,-,-,-,-,1,1,1,1,1,1,0,0,1
[6] http://purl.org/dc/terms/title,2,-,-,-,-,-,-,-,1,1,1,1,2,0,0,1
[7] http://rdfs.org/ns/void#exampleResource,4,-,-,-,-,-,-,-,-,1,1,1,1,0,0,1
[8] http://rdfs.org/ns/void#feature,1,-,-,-,-,-,-,-,-,-,1,1,1,0,0,1
[9] http://rdfs.org/ns/void#uriRegexPattern,1,-,-,-,-,-,-,-,-,-,-,1,1,0,0,1
[10] http://rdfs.org/ns/void#vocabulary,4,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1
[11] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3992,-,-,-,-,-,-,-,-,-,-,-,-,3990,3990,1
[12] http://www.w3.org/2000/01/rdf-schema#label,3997,-,-,-,-,-,-,-,-,-,-,-,-,-,3990,0
[13] http://www.w3.org/2004/02/skos/core#notation,3991,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[14] http://xmlns.com/foaf/0.1/homepage,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
