Number of unique subjects: 137843,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17]
[0] http://sw.cyc.com/CycAnnotations_v1#label,132242,-,32126,67172,41039,0,0,132242,56188,10948,132242,10573,52904,4880,0,1866,0,132242,0
[1] http://sw.opencyc.org/concept/Mx4rZOAVeiYGEdqAAAACs2IMmw,49321,-,-,21262,11176,0,0,32126,8557,0,32126,0,5175,0,0,122,0,32126,0
[2] http://sw.opencyc.org/concept/Mx4rwLSVCpwpEbGdrcN5Y29ycA,199826,-,-,-,23557,0,0,67172,30994,1664,67172,1584,35085,1160,0,1266,0,67172,0
[3] http://sw.opencyc.org/concept/wikipediaArticleURL,41039,-,-,-,-,0,0,41039,18810,0,41039,0,15615,0,0,0,0,41039,0
[4] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,3732,-,-,-,-,-,3732,0,0,0,0,0,0,0,0,0,0,0,0
[5] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,3732,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0
[6] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,283207,-,-,-,-,-,-,-,56191,10948,132244,10573,52904,4880,1866,1866,1866,132242,1
[7] http://www.w3.org/2000/01/rdf-schema#comment,56191,-,-,-,-,-,-,-,-,9577,56190,9315,34522,4385,0,7,0,56188,1
[8] http://www.w3.org/2000/01/rdf-schema#domain,11262,-,-,-,-,-,-,-,-,-,10948,10455,0,4800,0,0,0,10948,0
[9] http://www.w3.org/2000/01/rdf-schema#label,132244,-,-,-,-,-,-,-,-,-,-,10573,52904,4880,0,1866,0,132242,0
[10] http://www.w3.org/2000/01/rdf-schema#range,10936,-,-,-,-,-,-,-,-,-,-,-,0,4613,0,0,0,10573,0
[11] http://www.w3.org/2000/01/rdf-schema#subClassOf,76160,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,52904,0
[12] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,6737,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,4880,0
[13] http://www.w3.org/2002/07/owl#hasValue,1866,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1866,0,0
[14] http://www.w3.org/2002/07/owl#intersectionOf,1866,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1866,0
[15] http://www.w3.org/2002/07/owl#onProperty,1866,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[16] http://www.w3.org/2002/07/owl#sameAs,205374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[17] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
