Number of unique subjects: 35531,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84]
[0] http://semantic-mediawiki.org/swivt/1.0#baseProperty,23,-,0,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,0,0
[1] http://semantic-mediawiki.org/swivt/1.0#creationDate,1,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
[2] http://semantic-mediawiki.org/swivt/1.0#modifier,23,-,-,-,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,0,0
[3] http://semantic-mediawiki.org/swivt/1.0#page,35530,-,-,-,-,35530,4775,1103,7,38,557,51,76,3,1126,38,7,2,3,95,1,3,1,1103,558,447,1126,97,7,558,1,1,97,3,405,7,97,450,38,38,7,15,472,21,61,48,49,264,73,10,69,42,1126,1103,38,447,1141,20,437,533,38,508,447,3,127,1,62,110,122,129,147,143,102,2,103,76,1103,472,38,1,38,35530,35530,35530,0,2819
[4] http://semantic-mediawiki.org/swivt/1.0#wikiNamespace,35530,-,-,-,-,-,4775,1103,7,38,557,51,76,3,1126,38,7,2,3,95,1,3,1,1103,558,447,1126,97,7,558,1,1,97,3,405,7,97,450,38,38,7,15,472,21,61,48,49,264,73,10,69,42,1126,1103,38,447,1141,20,437,533,38,508,447,3,127,1,62,110,122,129,147,143,102,2,103,76,1103,472,38,1,38,35530,35530,35530,0,2819
[5] http://semantic-mediawiki.org/swivt/1.0#wikiPageModificationDate,4775,-,-,-,-,-,-,1103,7,19,479,51,76,3,1126,19,7,2,3,46,1,3,1,1103,480,447,1126,86,7,480,1,1,86,3,405,7,86,448,19,19,7,15,472,21,61,48,49,264,73,10,69,42,1126,1103,19,447,1131,20,437,455,19,501,447,3,127,1,62,110,122,129,147,143,102,2,103,76,1103,472,19,1,19,4775,4775,4775,0,1887
[6] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3A-C3-89closion,1105,-,-,-,-,-,-,-,0,0,0,0,0,0,1103,0,0,0,0,0,0,0,0,1103,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,471,17,60,46,49,263,73,10,65,38,1103,1103,0,0,1103,0,0,0,0,489,0,0,127,0,62,109,119,126,144,139,100,2,102,75,1103,0,0,0,0,1103,1103,1103,0,1095
[7] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3A-C3-89diteur_du_jeu_vid-C3-A9o,14,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,6
[8] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AAttaque_du_jeton,38,-,-,-,-,-,-,-,-,-,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,38,38,38,0,0
[9] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3ACat-C3-A9gorie_de_carte,557,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,0,0,0,557,447,0,0,0,557,0,0,0,0,405,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,437,533,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,557,557,557,0,10
