Number of unique subjects: 14032,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26]
[0] http://creativecommons.org/ns#attributionName,2,-,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
[1] http://creativecommons.org/ns#attributionURL,1,-,-,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
[2] http://creativecommons.org/ns#legalcode,1,-,-,-,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
[3] http://creativecommons.org/ns#license,1,-,-,-,-,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
[4] http://creativecommons.org/ns#morePermissions,1,-,-,-,-,-,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
[5] http://purl.org/dc/elements/1.1/creator,1,-,-,-,-,-,-,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
[6] http://purl.org/dc/elements/1.1/description,2,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
[7] http://purl.org/dc/elements/1.1/identifier,14029,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,14029,3840,13984,824,0,14029,2691,14029,2724,0,0,0
[8] http://purl.org/dc/elements/1.1/language,4,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
[9] http://purl.org/dc/elements/1.1/publisher,1,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
[10] http://purl.org/dc/elements/1.1/subject,6,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
[11] http://purl.org/dc/elements/1.1/title,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
[12] http://purl.org/dc/elements/1.1/type,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,0,0,1,0,0,0,0,1,0,0
[13] http://purl.org/dc/terms/created,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,1,0,0,0,0,1,0,0
[14] http://purl.org/dc/terms/modified,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,1,0,0,0,0,1,0,0
[15] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,14030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3840,13984,824,1,14029,2691,14029,2724,1,0,0
[16] http://www.w3.org/2004/02/skos/core#altLabel,11702,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3813,421,0,3840,1175,3840,1046,0,0,0
[17] http://www.w3.org/2004/02/skos/core#broader,13984,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,790,0,13984,2646,13984,2692,0,0,0
[18] http://www.w3.org/2004/02/skos/core#exactMatch,824,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,824,380,824,313,0,0,0
[19] http://www.w3.org/2004/02/skos/core#hasTopConcept,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,0,0
[20] http://www.w3.org/2004/02/skos/core#inScheme,14029,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2691,14029,2724,0,0,0
[21] http://www.w3.org/2004/02/skos/core#narrower,13984,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2691,1081,0,0,0
[22] http://www.w3.org/2004/02/skos/core#prefLabel,28058,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2724,0,0,0
[23] http://www.w3.org/2004/02/skos/core#related,4030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[24] http://xmlns.com/foaf/0.1/homepage,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[25] http://xmlns.com/foaf/0.1/mbox,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
[26] http://xmlns.com/foaf/0.1/name,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
