Number of unique subjects: 1579891,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17]
[0] http://purl.org/dc/elements/1.1/creator,3,-,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[1] http://purl.org/dc/elements/1.1/description,2,-,-,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[2] http://purl.org/dc/elements/1.1/title,2,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[3] http://purl.org/dc/terms/created,1,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[4] http://www.aktors.org/ontology/portal#addresses-generic-area-of-interest,1260772,-,-,-,-,-,109915,0,406429,409563,409563,409563,0,0,0,0,409563,0,0
[5] http://www.aktors.org/ontology/portal#cites-publication-reference,1082935,-,-,-,-,-,-,0,132856,133076,133076,133076,0,0,0,0,133076,0,0
[6] http://www.aktors.org/ontology/portal#full-name,972127,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,933921,0,0
[7] http://www.aktors.org/ontology/portal#has-author,1377069,-,-,-,-,-,-,-,-,627615,627615,627615,0,0,0,0,627615,0,0
[8] http://www.aktors.org/ontology/portal#has-date,680879,-,-,-,-,-,-,-,-,-,643067,643067,0,0,0,0,643067,0,0
[9] http://www.aktors.org/ontology/portal#has-publication-reference,643067,-,-,-,-,-,-,-,-,-,-,643067,0,0,0,0,643067,0,0
[10] http://www.aktors.org/ontology/portal#has-title,653929,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,643067,0,0
[11] http://www.aktors.org/ontology/support#day-of,2539,-,-,-,-,-,-,-,-,-,-,-,-,2539,2539,2527,2539,0,0
[12] http://www.aktors.org/ontology/support#has-pretty-name,2539,-,-,-,-,-,-,-,-,-,-,-,-,-,2539,2527,2539,0,0
[13] http://www.aktors.org/ontology/support#month-of,2539,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2527,2539,0,0
[14] http://www.aktors.org/ontology/support#year-of,2527,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2527,0,0
[15] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1579528,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[16] http://www.w3.org/2000/01/rdf-schema#label,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[17] http://www.w3.org/2002/07/owl#imports,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
