Number of unique subjects: 721329,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18]
[0] http://purl.org/dc/elements/1.1/creator,2,-,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[1] http://purl.org/dc/elements/1.1/description,1,-,-,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[2] http://purl.org/dc/elements/1.1/source,1,-,-,-,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[3] http://purl.org/dc/elements/1.1/title,1,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[4] http://purl.org/dc/terms/created,1,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[5] http://www.aktors.org/ontology/extension#has-authority,354097,-,-,-,-,-,-,194345,0,307756,340291,340291,340229,0,0,0,0,340291,0,0
[6] http://www.aktors.org/ontology/portal#cites-publication-reference,932748,-,-,-,-,-,-,-,0,180714,194345,194345,194340,0,0,0,0,194345,0,0
[7] http://www.aktors.org/ontology/portal#full-name,386229,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,381012,0,0
[8] http://www.aktors.org/ontology/portal#has-author,753543,-,-,-,-,-,-,-,-,-,307756,307756,307740,0,0,0,0,307756,0,0
[9] http://www.aktors.org/ontology/portal#has-date,391176,-,-,-,-,-,-,-,-,-,-,340291,340229,0,0,0,0,340291,0,0
[10] http://www.aktors.org/ontology/portal#has-publication-reference,340291,-,-,-,-,-,-,-,-,-,-,-,340229,0,0,0,0,340291,0,0
[11] http://www.aktors.org/ontology/portal#has-title,345752,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,340229,0,0
[12] http://www.aktors.org/ontology/support#day-of,25,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,24,25,0,0
[13] http://www.aktors.org/ontology/support#has-pretty-name,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,24,25,0,0
[14] http://www.aktors.org/ontology/support#month-of,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,25,0,0
[15] http://www.aktors.org/ontology/support#year-of,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,0,0
[16] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,721329,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[17] http://www.w3.org/2000/01/rdf-schema#label,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[18] http://www.w3.org/2002/07/owl#imports,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
