Number of unique subjects: 5,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17]
[0] http://purl.org/NET/scovo#dimension,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[1] http://purl.org/dc/terms/creator,1,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[2] http://purl.org/dc/terms/date,3,-,-,-,1,2,0,0,0,0,1,1,1,1,2,0,2,2,1
[3] http://purl.org/dc/terms/modified,1,-,-,-,-,1,0,0,0,0,1,1,0,1,1,0,1,1,0
[4] http://purl.org/dc/terms/title,2,-,-,-,-,-,0,0,0,0,1,1,1,1,2,0,2,2,0
[5] http://rdfs.org/ns/void#linkPredicate,1,-,-,-,-,-,-,1,1,1,0,0,0,0,1,0,1,0,0
[6] http://rdfs.org/ns/void#objectsTarget,1,-,-,-,-,-,-,-,1,1,0,0,0,0,1,0,1,0,0
[7] http://rdfs.org/ns/void#statItem,1,-,-,-,-,-,-,-,-,1,0,0,0,0,1,0,1,0,0
[8] http://rdfs.org/ns/void#subjectsTarget,1,-,-,-,-,-,-,-,-,-,0,0,0,0,1,0,1,0,0
[9] http://rdfs.org/ns/void#subset,1,-,-,-,-,-,-,-,-,-,-,1,0,1,1,0,1,1,0
[10] http://rdfs.org/ns/void#uriLookupEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,1,0
[11] http://rdfs.org/ns/void#uriRegexPattern,1,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,1,1,0
[12] http://rdfs.org/ns/void#vocabulary,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,0
[13] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,2,0
[14] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0
[15] http://www.w3.org/2000/01/rdf-schema#label,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0
[16] http://xmlns.com/foaf/0.1/homepage,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[17] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
