Number of unique subjects: 84,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23]
[0] http://purl.org/NET/scovo#dimension,39,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0
[1] http://purl.org/dc/terms/creator,1,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[2] http://purl.org/dc/terms/date,9,-,-,-,1,1,1,8,1,1,0,0,1,2,0,1,1,7,1,8,0,8,8,1,1
[3] http://purl.org/dc/terms/description,1,-,-,-,-,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0
[4] http://purl.org/dc/terms/publisher,1,-,-,-,-,-,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0
[5] http://purl.org/dc/terms/subject,5,-,-,-,-,-,-,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0
[6] http://purl.org/dc/terms/title,8,-,-,-,-,-,-,-,1,1,0,0,1,2,0,1,1,7,1,8,0,8,8,1,0
[7] http://rdfs.org/ns/void#exampleResource,1,-,-,-,-,-,-,-,-,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0
[8] http://rdfs.org/ns/void#feature,1,-,-,-,-,-,-,-,-,-,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0
[9] http://rdfs.org/ns/void#linkPredicate,36,-,-,-,-,-,-,-,-,-,-,36,0,36,36,0,0,0,0,36,0,36,0,0,0
[10] http://rdfs.org/ns/void#objectsTarget,36,-,-,-,-,-,-,-,-,-,-,-,0,36,36,0,0,0,0,36,0,36,0,0,0
[11] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,1,0,1,0,1,1,1,0
[12] http://rdfs.org/ns/void#statItem,39,-,-,-,-,-,-,-,-,-,-,-,-,-,36,1,1,1,1,38,0,38,2,1,0
[13] http://rdfs.org/ns/void#subjectsTarget,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,36,0,36,0,0,0
[14] http://rdfs.org/ns/void#subset,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,0,1,1,0,0
[15] http://rdfs.org/ns/void#uriLookupEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,1,0,0
[16] http://rdfs.org/ns/void#uriRegexPattern,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7,0,7,7,1,0
[17] http://rdfs.org/ns/void#vocabulary,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,0,0
[18] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,44,8,1,0
[19] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,0,0,0
[20] http://www.w3.org/2000/01/rdf-schema#label,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,1,0
[21] http://xmlns.com/foaf/0.1/homepage,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0
[22] http://xmlns.com/foaf/0.1/nick,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[23] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
