Number of unique subjects: 7884,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17]
[0] http://purl.org/dc/elements/1.1/creator,1,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[1] http://purl.org/dc/elements/1.1/description,4,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[2] http://purl.org/dc/elements/1.1/title,5,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[3] http://www.aktors.org/ontology/extension#has-abstract,1332,-,-,-,-,0,1331,1331,283,1331,1331,1331,0,0,883,916,1331,0,0
[4] http://www.aktors.org/ontology/portal#full-name,5455,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,5192,0,0
[5] http://www.aktors.org/ontology/portal#has-author,6585,-,-,-,-,-,-,2603,283,2603,1482,2603,0,0,2124,916,2603,0,0
[6] http://www.aktors.org/ontology/portal#has-date,2711,-,-,-,-,-,-,-,283,2654,1514,2603,0,0,2124,916,2654,0,0
[7] http://www.aktors.org/ontology/portal#has-ieee-keyword,1101,-,-,-,-,-,-,-,-,283,283,283,0,0,0,0,283,0,0
[8] http://www.aktors.org/ontology/portal#has-title,2702,-,-,-,-,-,-,-,-,-,1514,2603,0,0,2124,916,2654,0,0
[9] http://www.aktors.org/ontology/portal#has-web-address,1530,-,-,-,-,-,-,-,-,-,-,1482,0,0,1003,916,1514,0,0
[10] http://www.aktors.org/ontology/portal#paper-in-proceedings,2660,-,-,-,-,-,-,-,-,-,-,-,0,0,2124,916,2603,0,0
[11] http://www.aktors.org/ontology/support#has-pretty-name,37,-,-,-,-,-,-,-,-,-,-,-,-,37,0,0,37,0,0
[12] http://www.aktors.org/ontology/support#year-of,37,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,37,0,0
[13] http://www.iai.uni-sb.de/resist#compendium-filename,2225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,820,2124,0,0
[14] http://www.iai.uni-sb.de/resist#has-ieee-keyword,3692,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,916,0,0
[15] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,7884,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[16] http://www.w3.org/2000/01/rdf-schema#label,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[17] http://www.w3.org/2002/07/owl#imports,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
