Number of unique subjects: 31204,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
[0] http://purl.org/dc/elements/1.1/creator,3,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[1] http://purl.org/dc/elements/1.1/description,3,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[2] http://purl.org/dc/elements/1.1/title,6,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[3] http://www.aktors.org/ontology/portal#addresses-generic-area-of-interest,18178,-,-,-,-,3441,0,3440,234,0,3441,3441,3441,3441,0,0,0,0,0,3441,0,0
[4] http://www.aktors.org/ontology/portal#article-of-journal,20116,-,-,-,-,-,0,20063,9834,0,20116,20116,20116,20116,0,0,0,0,0,20116,0,0
[5] http://www.aktors.org/ontology/portal#full-name,7280,-,-,-,-,-,-,0,0,7073,0,0,0,0,0,0,0,0,0,7190,0,0
[6] http://www.aktors.org/ontology/portal#has-author,22159,-,-,-,-,-,-,-,9792,0,20063,20063,20063,20063,0,0,0,0,0,20063,0,0
[7] http://www.aktors.org/ontology/portal#has-date,10554,-,-,-,-,-,-,-,-,0,9834,9834,9834,9834,0,0,0,0,0,9834,0,0
[8] http://www.aktors.org/ontology/portal#has-email-address,9919,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,7074,0,0
[9] http://www.aktors.org/ontology/portal#has-number,21259,-,-,-,-,-,-,-,-,-,-,20116,20116,20116,0,0,0,0,0,20116,0,0
[10] http://www.aktors.org/ontology/portal#has-title,20371,-,-,-,-,-,-,-,-,-,-,-,20116,20116,0,0,0,0,0,20116,0,0
[11] http://www.aktors.org/ontology/portal#has-volume,20173,-,-,-,-,-,-,-,-,-,-,-,-,20116,0,0,0,0,0,20116,0,0
[12] http://www.aktors.org/ontology/portal#has-web-address,22356,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,20116,0,0
[13] http://www.aktors.org/ontology/portal#sub-area-of,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,106,0,0,106,0,0
[14] http://www.aktors.org/ontology/support#day-of,3586,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3586,3586,3586,0,0
[15] http://www.aktors.org/ontology/support#has-pretty-name,310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,310,0,0
[16] http://www.aktors.org/ontology/support#month-of,3586,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3586,3586,0,0
[17] http://www.aktors.org/ontology/support#year-of,3586,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3586,0,0
[18] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,31204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[19] http://www.w3.org/2000/01/rdf-schema#label,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[20] http://www.w3.org/2002/07/owl#imports,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
