Number of unique subjects: 1469,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
[0] http://purl.org/NET/scovo#dimension,517,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,517,0,0
[1] http://purl.org/dc/terms/creator,1,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[2] http://purl.org/dc/terms/date,437,-,-,-,2,1,436,1,0,0,1,1,0,1,1,435,2,436,0,436,436,1
[3] http://purl.org/dc/terms/modified,2,-,-,-,-,1,2,1,0,0,1,1,0,1,1,1,2,2,0,2,2,0
[4] http://purl.org/dc/terms/publisher,1,-,-,-,-,-,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0
[5] http://purl.org/dc/terms/title,436,-,-,-,-,-,-,1,0,0,1,1,0,1,1,435,2,436,0,436,436,0
[6] http://rdfs.org/ns/void#feature,3,-,-,-,-,-,-,-,0,0,1,1,0,1,0,1,1,1,0,1,1,0
[7] http://rdfs.org/ns/void#linkPredicate,515,-,-,-,-,-,-,-,-,515,0,515,515,0,0,0,0,515,0,515,0,0
[8] http://rdfs.org/ns/void#objectsTarget,517,-,-,-,-,-,-,-,-,-,0,515,515,0,0,0,0,515,0,515,0,0
[9] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,-,1,0,1,0,1,1,1,0,1,1,0
[10] http://rdfs.org/ns/void#statItem,517,-,-,-,-,-,-,-,-,-,-,-,515,1,0,1,1,516,0,516,1,0
[11] http://rdfs.org/ns/void#subjectsTarget,515,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,515,0,515,0,0
[12] http://rdfs.org/ns/void#subset,515,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,0,1,1,0
[13] http://rdfs.org/ns/void#uriLookupEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,1,0
[14] http://rdfs.org/ns/void#uriRegexPattern,435,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,435,0,435,435,0
[15] http://rdfs.org/ns/void#vocabulary,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,2,2,0
[16] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,951,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,951,436,0
[17] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,517,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,517,0,0
[18] http://www.w3.org/2000/01/rdf-schema#label,1468,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,436,0
[19] http://xmlns.com/foaf/0.1/homepage,436,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[20] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
