Number of unique subjects: 54,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
[0] http://id.southampton.ac.uk/ns/appType,20,-,0,0,16,18,15,0,0,11,16,18,0,0,0,0,0,18,18,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0
[1] http://id.southampton.ac.uk/ns/processIncludedFile,5,-,-,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
[2] http://purl.org/dc/terms/conformsTo,2,-,-,-,0,0,2,2,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
[3] http://purl.org/dc/terms/created,16,-,-,-,-,16,13,0,0,11,15,16,0,0,0,0,0,16,16,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0
[4] http://purl.org/dc/terms/creator,21,-,-,-,-,-,15,0,0,11,16,18,0,0,0,0,0,18,18,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0
[5] http://purl.org/dc/terms/description,17,-,-,-,-,-,-,2,2,11,13,17,0,0,0,2,0,17,15,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0
[6] http://purl.org/dc/terms/isPartOf,2,-,-,-,-,-,-,-,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
[7] http://purl.org/dc/terms/license,2,-,-,-,-,-,-,-,-,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
[8] http://purl.org/dc/terms/publisher,13,-,-,-,-,-,-,-,-,-,11,13,0,0,0,2,0,13,11,0,0,0,0,2,0,0,1,0,0,0,10,0,0,0
[9] http://purl.org/dc/terms/requires,27,-,-,-,-,-,-,-,-,-,-,16,0,0,0,0,0,16,16,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0
[10] http://purl.org/dc/terms/title,20,-,-,-,-,-,-,-,-,-,-,-,0,0,0,2,0,20,18,0,0,0,0,2,0,0,1,0,0,0,16,0,0,0
[11] http://purl.org/void/provenance/ns/processType,3,-,-,-,-,-,-,-,-,-,-,-,-,3,3,0,0,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0
[12] http://purl.org/void/provenance/ns/resultingDataset,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0
[13] http://purl.org/void/provenance/ns/sourceDataset,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0
[14] http://rdfs.org/ns/void#sparqlEndpoint,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
[15] http://rdfs.org/ns/void#triples,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[16] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,3,3,3,3,3,3,3,1,1,1,1,23,13,13,13
